id,title,ideology,headquarter,audience,region,format,year,month,day,link
1,Ahora,socialist,madrid,adult,national,daily,1931,4,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=181a18db-2586-4289-afb5-af0e9681f492
2,Ahora,socialist,madrid,adult,national,daily,1932,4,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=ced5043f-0ee6-4bab-b9ac-2f4be94b0e91
3,Ahora,socialist,madrid,adult,national,daily,1932,9,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=cff641fc-a465-486a-a465-335b0162b22c
4,Ahora,socialist,madrid,adult,national,daily,1935,1,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=2c298fe5-34ad-4eb9-8d58-4f670b5e8aa8
5,Ahora,socialist,madrid,adult,national,daily,1935,11,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=18c39256-fd15-4c4b-8f06-e7564f7bcfe6
6,Ahora,socialist,madrid,adult,national,daily,1937,12,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=321a79b0-b190-4038-9bb8-7997d1023d05
7,Ahora,socialist,madrid,adult,national,daily,1937,2,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=e7e50c16-56c6-483e-8dc2-e4cf2c1b7756
8,Andalucia,regionalist,sevilla,adult,andalucia,monthly,1916,11,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=6e66669b-bd02-4b45-acd7-7026870e7b70
9,Andalucia,regionalist,sevilla,adult,andalucia,monthly,1916,12,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=d304d223-56cc-4646-9b8c-3817e33e957d
10,Andalucia,regionalist,sevilla,adult,andalucia,monthly,1916,6,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=ddc46c97-be7d-4d86-828d-f55db7ad7e83
11,Andalucia,regionalist,sevilla,adult,andalucia,monthly,1917,11,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=ace47294-cd5c-40de-ab2a-8e0d60c1946c
12,Andalucia,regionalist,sevilla,adult,andalucia,monthly,1917,5,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=29430053-efbe-4e64-a90d-94f9c83b66b9
13,CEDA,conservative,madrid,adult,national,biweekly,1934,3,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=164a1241-06af-4699-98c9-3a8306288e92
14,CEDA,conservative,madrid,adult,national,biweekly,1934,6,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=2c226259-c68d-47ff-8b92-10c744b4954d
15,CEDA,conservative,madrid,adult,national,biweekly,1935,2,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=cd42c7c7-f6d9-4f1c-ad11-83835dafc8c8
16,CEDA,conservative,madrid,adult,national,biweekly,1935,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=d436ff87-ccaf-455d-a1e0-999867b2a2db
17,El Amigo,federalist,madrid,youth,national,biweekly,1915,11,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=88e3ea86-faff-4ae0-b04a-fc534f6838da
18,El Amigo,federalist,madrid,youth,national,biweekly,1917,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=be1588cf-3103-4dbc-b58a-b68a6614f2ba
19,El Amigo,federalist,madrid,youth,national,biweekly,1919,2,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=911ae3ba-c059-40fe-9ebf-de463d8f5697
20,El Amigo,federalist,madrid,youth,national,biweekly,1919,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=6b2aa781-252e-41dc-b76d-1c647b7abe8f
21,El Amigo,federalist,madrid,youth,national,biweekly,1919,7,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=2951efcb-4f18-449f-8a03-5bd0c01e49f4
22,El Cantábrico,socialist,santander,adult,cantabria,daily,1924,2,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=dac64fab-f0ea-4966-96d6-2fee30609ac7
23,El Cantábrico,socialist,santander,adult,cantabria,daily,1924,6,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=8833fdae-d762-45e9-b161-d3e41a65c236
24,El Cantábrico,socialist,santander,adult,cantabria,daily,1936,10,6,https://hemerotecadigital.bne.es/hd/es/viewer?id=c3c80d6e-bb3b-42df-bd0d-882bc03199a2
25,El Cantábrico,socialist,santander,adult,cantabria,daily,1936,3,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=8fa1a137-ba2f-49c9-9784-8291f4eeeb2d
26,El Cantábrico,socialist,santander,adult,cantabria,daily,1937,1,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=3fd06b37-aa61-419e-813a-db690d285a13
27,El Cruzado Español,conservative,madrid,adult,national,weekly,1929,8,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=ac46aa79-66ad-46d3-b5fa-229dd667786e
28,El Cruzado Español,conservative,madrid,adult,national,weekly,1930,3,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=44426849-3ec4-429e-92cb-527e02bcb2f6
29,El Cruzado Español,conservative,madrid,adult,national,weekly,1930,9,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=62461a27-4615-443c-8349-916527b92a85
30,El Cruzado Español,conservative,madrid,adult,national,weekly,1931,8,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=4ddb68d5-f96b-432b-8626-ee91fc629a5a
31,El Cruzado Español,conservative,madrid,adult,national,weekly,1932,12,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=c88c30a1-159e-4852-9f5c-f2d6f7083ce5
32,El Cruzado Español,conservative,madrid,adult,national,weekly,1932,5,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=5b0beb10-22d7-4d15-9b14-84955e3c1090
33,El Imparcial,liberal,madrid,adult,national,daily,1891,4,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=d5e82d64-454c-4e83-a1d6-6518ba2a63b8
34,El Imparcial,liberal,madrid,adult,national,daily,1895,7,10,https://hemerotecadigital.bne.es/hd/es/viewer?id=bafbbe54-712d-41a2-96d4-bc26dcc17c0a
35,El Imparcial,liberal,madrid,adult,national,daily,1900,10,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=4608e854-91a2-47f9-97a3-acd58635aab2
36,El Imparcial,liberal,madrid,adult,national,daily,1904,10,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=e308e611-ffab-4261-9348-e3c86a006856
37,El Imparcial,liberal,madrid,adult,national,daily,1914,5,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=00aaad34-ebbe-4a5d-b1af-1e953ad2c664
38,El Imparcial,liberal,madrid,adult,national,daily,1923,12,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=ad118f36-a0da-42ba-938d-6625ad18bee6
39,El Imparcial,liberal,madrid,adult,national,daily,1930,3,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=aacee5f2-c2fb-477c-8336-3eb0cca1b62a
40,El Pais,republican,madrid,adult,national,daily,1890,2,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=af142aa9-95e9-43c7-9868-4e04a2ddc73b
41,El Pais,republican,madrid,adult,national,daily,1894,5,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=07550362-08a6-45c2-bbf2-51192d618bb6
42,El Pais,republican,madrid,adult,national,daily,1899,4,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=6f9e383f-a6a0-4e94-9fe2-acc664077c0f
43,El Pais,republican,madrid,adult,national,daily,1902,10,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=a89960b1-eccc-45db-9892-f98c299e50a3
44,El Pais,republican,madrid,adult,national,daily,1905,9,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=270b7050-839f-4c41-81de-14ca88282fd3
45,El Pais,republican,madrid,adult,national,daily,1909,11,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=37d415fa-b4ad-4a8a-8cda-ed68f4766bd9
