Source,Target,Weight,Type
1,4,30,undirected
1,5,16,undirected
1,39,2,undirected
1,63,10,undirected
1,64,2,undirected
1,72,12,undirected
1,74,6,undirected
1,76,4,undirected
2,3,40,undirected
2,4,4,undirected
2,5,20,undirected
2,39,2,undirected
2,70,4,undirected
3,2,40,undirected
3,4,2,undirected
3,5,50,undirected
3,15,16,undirected
3,25,20,undirected
3,39,16,undirected
3,62,2,undirected
3,69,2,undirected
3,70,4,undirected
3,78,8,undirected
3,79,4,undirected
3,80,6,undirected
4,1,30,undirected
4,2,4,undirected
4,3,2,undirected
4,5,60,undirected
4,39,26,undirected
4,45,2,undirected
4,55,46,undirected
4,61,6,undirected
4,63,20,undirected
4,75,6,undirected
4,76,14,undirected
4,80,8,undirected
5,1,16,undirected
5,2,20,undirected
5,3,50,undirected
5,4,60,undirected
5,25,4,undirected
5,49,4,undirected
5,55,24,undirected
5,61,2,undirected
5,63,4,undirected
6,7,6,undirected
6,55,4,undirected
6,62,4,undirected
6,91,18,undirected
6,92,20,undirected
6,93,12,undirected
7,6,6,undirected
7,24,4,undirected
7,91,16,undirected
7,92,36,undirected
7,93,6,undirected
10,11,30,undirected
10,12,60,undirected
10,8,34,undirected
10,9,48,undirected
11,10,30,undirected
11,12,18,undirected
11,8,2,undirected
11,9,6,undirected
11,91,4,undirected
12,10,60,undirected
12,11,18,undirected
12,8,2,undirected
12,9,38,undirected
12,16,24,undirected
12,100,8,undirected
8,10,34,undirected
8,11,2,undirected
8,12,2,undirected
8,9,34,undirected
8,16,4,undirected
8,17,4,undirected
8,75,2,undirected
8,76,4,undirected
9,10,48,undirected
9,11,6,undirected
9,12,38,undirected
9,8,34,undirected
9,55,6,undirected
13,14,60,undirected
13,15,8,undirected
13,16,6,undirected
13,39,10,undirected
13,64,16,undirected
14,13,60,undirected
14,15,30,undirected
14,56,2,undirected
14,63,20,undirected
15,3,16,undirected
15,13,8,undirected
15,14,30,undirected
15,16,6,undirected
15,39,4,undirected
15,62,14,undirected
16,12,24,undirected
16,8,4,undirected
16,13,6,undirected
16,15,6,undirected
16,26,10,undirected
16,92,10,undirected
17,8,4,undirected
17,18,60,undirected
17,19,48,undirected
17,20,10,undirected
17,21,20,undirected
17,71,8,undirected
17,76,6,undirected
18,17,60,undirected
18,19,20,undirected
18,21,20,undirected
18,71,18,undirected
18,76,4,undirected
19,17,48,undirected
19,18,20,undirected
19,20,38,undirected
19,21,52,undirected
20,17,10,undirected
20,19,38,undirected
20,21,22,undirected
21,17,20,undirected
21,18,20,undirected
21,19,52,undirected
21,20,22,undirected
22,23,60,undirected
22,46,2,undirected
22,58,12,undirected
22,66,16,undirected
22,87,12,undirected
23,22,60,undirected
23,25,14,undirected
23,54,16,undirected
23,58,4,undirected
23,87,6,undirected
24,7,4,undirected
24,25,60,undirected
24,26,30,undirected
24,55,6,undirected
24,91,6,undirected
24,92,40,undirected
25,3,20,undirected
25,5,4,undirected
25,23,14,undirected
25,24,60,undirected
25,26,10,undirected
25,39,2,undirected
25,93,2,undirected
25,94,2,undirected
26,16,10,undirected
26,24,30,undirected
26,25,10,undirected
26,56,4,undirected
26,92,16,undirected
27,29,24,undirected
27,31,10,undirected
27,32,26,undirected
28,29,8,undirected
28,30,18,undirected
28,31,30,undirected
28,32,4,undirected
29,27,24,undirected
29,28,8,undirected
29,30,52,undirected
29,31,32,undirected
29,32,24,undirected
30,28,18,undirected
30,29,52,undirected
30,31,58,undirected
30,32,16,undirected
30,39,2,undirected
30,56,6,undirected
30,66,2,undirected
31,27,10,undirected
31,28,30,undirected
31,29,32,undirected
31,30,58,undirected
31,32,48,undirected
32,27,26,undirected
32,28,4,undirected
32,29,24,undirected
32,30,16,undirected
32,31,48,undirected
33,35,12,undirected
33,37,12,undirected
33,39,18,undirected
