Source,Target,Weight,Type
adult_1,adult_39,2,undirected
adult_1,adult_4,30,undirected
adult_1,adult_5,16,undirected
adult_1,adult_63,10,undirected
adult_1,adult_64,2,undirected
adult_1,youth_72,12,undirected
adult_1,youth_74,6,undirected
adult_1,youth_76,4,undirected
adult_10,adult_11,30,undirected
adult_10,adult_12,60,undirected
adult_10,adult_8,34,undirected
adult_10,adult_9,48,undirected
adult_100,adult_12,8,undirected
adult_100,adult_96,20,undirected
adult_100,adult_97,56,undirected
adult_100,adult_98,40,undirected
adult_100,adult_99,54,undirected
adult_100,youth_71,4,undirected
adult_11,adult_10,30,undirected
adult_11,adult_12,18,undirected
adult_11,adult_8,2,undirected
adult_11,adult_9,6,undirected
adult_11,adult_91,4,undirected
adult_12,adult_10,60,undirected
adult_12,adult_100,8,undirected
adult_12,adult_11,18,undirected
adult_12,adult_16,24,undirected
adult_12,adult_8,2,undirected
adult_12,adult_9,38,undirected
adult_13,adult_14,60,undirected
adult_13,adult_15,8,undirected
adult_13,adult_16,6,undirected
adult_13,adult_39,10,undirected
adult_13,adult_64,16,undirected
adult_14,adult_13,60,undirected
adult_14,adult_15,30,undirected
adult_14,adult_56,2,undirected
adult_14,adult_63,20,undirected
adult_15,adult_13,8,undirected
adult_15,adult_14,30,undirected
adult_15,adult_16,6,undirected
adult_15,adult_3,16,undirected
adult_15,adult_39,4,undirected
adult_15,adult_62,14,undirected
adult_16,adult_12,24,undirected
adult_16,adult_13,6,undirected
adult_16,adult_15,6,undirected
adult_16,adult_26,10,undirected
adult_16,adult_8,4,undirected
adult_16,adult_92,10,undirected
adult_2,adult_3,40,undirected
adult_2,adult_39,2,undirected
adult_2,adult_4,4,undirected
adult_2,adult_5,20,undirected
adult_2,adult_70,4,undirected
adult_22,adult_23,60,undirected
adult_22,adult_46,2,undirected
adult_22,adult_58,12,undirected
adult_22,adult_66,16,undirected
adult_22,adult_87,12,undirected
adult_23,adult_22,60,undirected
adult_23,adult_25,14,undirected
adult_23,adult_54,16,undirected
adult_23,adult_58,4,undirected
adult_23,adult_87,6,undirected
adult_24,adult_25,60,undirected
adult_24,adult_26,30,undirected
adult_24,adult_55,6,undirected
adult_24,adult_7,4,undirected
adult_24,adult_91,6,undirected
adult_24,adult_92,40,undirected
adult_25,adult_23,14,undirected
adult_25,adult_24,60,undirected
adult_25,adult_26,10,undirected
adult_25,adult_3,20,undirected
adult_25,adult_39,2,undirected
adult_25,adult_5,4,undirected
adult_25,adult_93,2,undirected
adult_25,adult_94,2,undirected
adult_26,adult_16,10,undirected
adult_26,adult_24,30,undirected
adult_26,adult_25,10,undirected
adult_26,adult_56,4,undirected
adult_26,adult_92,16,undirected
adult_27,adult_29,24,undirected
adult_27,adult_31,10,undirected
adult_27,adult_32,26,undirected
adult_28,adult_29,8,undirected
adult_28,adult_30,18,undirected
adult_28,adult_31,30,undirected
adult_28,adult_32,4,undirected
adult_29,adult_27,24,undirected
adult_29,adult_28,8,undirected
adult_29,adult_30,52,undirected
adult_29,adult_31,32,undirected
adult_29,adult_32,24,undirected
adult_3,adult_15,16,undirected
adult_3,adult_2,40,undirected
adult_3,adult_25,20,undirected
adult_3,adult_39,16,undirected
adult_3,adult_4,2,undirected
adult_3,adult_5,50,undirected
adult_3,adult_62,2,undirected
adult_3,adult_69,2,undirected
adult_3,adult_70,4,undirected
adult_3,adult_78,8,undirected
adult_3,adult_79,4,undirected
adult_3,adult_80,6,undirected
adult_30,adult_28,18,undirected
adult_30,adult_29,52,undirected
adult_30,adult_31,58,undirected
adult_30,adult_32,16,undirected
adult_30,adult_39,2,undirected
adult_30,adult_56,6,undirected
adult_30,adult_66,2,undirected
adult_31,adult_27,10,undirected
adult_31,adult_28,30,undirected
adult_31,adult_29,32,undirected
adult_31,adult_30,58,undirected
adult_31,adult_32,48,undirected
adult_32,adult_27,26,undirected
adult_32,adult_28,4,undirected
adult_32,adult_29,24,undirected
adult_32,adult_30,16,undirected
adult_32,adult_31,48,undirected
adult_33,adult_35,12,undirected
adult_33,adult_37,12,undirected
adult_33,adult_39,18,undirected
adult_33,adult_42,12,undirected
adult_33,adult_44,6,undirected
adult_33,adult_46,6,undirected
adult_34,adult_35,22,undirected
adult_34,adult_36,34,undirected
adult_34,adult_40,28,undirected
adult_34,adult_41,10,undirected
adult_34,adult_42,12,undirected
adult_34,adult_43,30,undirected
adult_34,adult_46,2,undirected
adult_34,adult_47,10,undirected
adult_34,adult_56,12,undirected
adult_34,adult_58,10,undirected
adult_34,adult_84,30,undirected
adult_34,adult_87,24,undirected
adult_35,adult_33,12,undirected
adult_35,adult_34,22,undirected
adult_35,adult_36,26,undirected
adult_35,adult_37,30,undirected
adult_35,adult_42,2,undirected
adult_35,adult_44,4,undirected
adult_36,adult_34,34,undirected
adult_36,adult_35,26,undirected
adult_36,adult_37,48,undirected
adult_36,adult_40,4,undirected
adult_36,adult_43,16,undirected
adult_36,adult_49,12,undirected
adult_36,adult_51,22,undirected
adult_36,adult_52,24,undirected
adult_36,adult_58,2,undirected
adult_36,adult_61,24,undirected
adult_36,adult_77,6,undirected
adult_36,adult_78,4,undirected
adult_36,adult_79,4,undirected
adult_36,adult_85,2,undirected
adult_36,adult_86,14,undirected
adult_36,adult_87,2,undirected
adult_37,adult_33,12,undirected
adult_37,adult_35,30,undirected
adult_37,adult_36,48,undirected
adult_37,adult_38,2,undirected
adult_37,adult_39,6,undirected
adult_37,adult_43,6,undirected
adult_37,adult_45,6,undirected
adult_37,adult_46,6,undirected
adult_37,adult_51,6,undirected
