Source,Target,Weight,Type
adult_1,adult_4,3,undirected
adult_1,adult_5,1,undirected
adult_1,adult_63,2,undirected
adult_1,youth_76,1,undirected
adult_10,adult_11,2,undirected
adult_10,adult_12,6,undirected
adult_10,adult_8,3,undirected
adult_10,adult_9,4,undirected
adult_100,adult_12,1,undirected
adult_100,adult_96,2,undirected
adult_100,adult_97,6,undirected
adult_100,adult_98,5,undirected
adult_100,adult_99,4,undirected
adult_11,adult_10,2,undirected
adult_11,adult_12,1,undirected
adult_11,adult_9,3,undirected
adult_12,adult_10,6,undirected
adult_12,adult_100,1,undirected
adult_12,adult_11,1,undirected
adult_12,adult_16,3,undirected
adult_12,adult_9,5,undirected
adult_13,adult_14,6,undirected
adult_13,adult_15,3,undirected
adult_13,adult_64,2,undirected
adult_14,adult_13,6,undirected
adult_14,adult_15,5,undirected
adult_14,adult_63,1,undirected
adult_15,adult_13,3,undirected
adult_15,adult_14,5,undirected
adult_15,adult_16,1,undirected
adult_15,adult_62,1,undirected
adult_16,adult_12,3,undirected
adult_16,adult_15,1,undirected
adult_16,adult_92,2,undirected
adult_2,adult_3,3,undirected
adult_2,adult_4,1,undirected
adult_2,adult_5,2,undirected
adult_22,adult_23,6,undirected
adult_22,adult_58,2,undirected
adult_22,adult_66,1,undirected
adult_23,adult_22,6,undirected
adult_23,adult_54,2,undirected
adult_23,adult_58,1,undirected
adult_24,adult_25,6,undirected
adult_24,adult_26,4,undirected
adult_24,adult_7,1,undirected
adult_24,adult_92,4,undirected
adult_25,adult_24,6,undirected
adult_25,adult_3,2,undirected
adult_25,adult_39,1,undirected
adult_26,adult_24,4,undirected
adult_26,adult_56,2,undirected
adult_26,adult_92,1,undirected
adult_27,adult_29,1,undirected
adult_27,adult_31,2,undirected
adult_27,adult_32,5,undirected
adult_28,adult_30,1,undirected
adult_28,adult_31,2,undirected
adult_28,adult_32,3,undirected
adult_29,adult_27,1,undirected
adult_29,adult_30,5,undirected
adult_29,adult_31,3,undirected
adult_29,adult_32,2,undirected
adult_3,adult_2,3,undirected
adult_3,adult_25,2,undirected
adult_3,adult_39,2,undirected
adult_3,adult_4,1,undirected
adult_3,adult_5,5,undirected
adult_3,adult_55,1,undirected
adult_3,adult_79,1,undirected
adult_3,adult_83,2,undirected
adult_30,adult_28,1,undirected
adult_30,adult_29,5,undirected
adult_30,adult_31,6,undirected
adult_30,adult_56,1,undirected
