Source,Target,Weight,Type
biweekly_13,biweekly_14,60,undirected
biweekly_13,biweekly_15,8,undirected
biweekly_13,biweekly_16,6,undirected
biweekly_13,daily_39,10,undirected
biweekly_13,daily_64,16,undirected
biweekly_14,biweekly_13,60,undirected
biweekly_14,biweekly_15,30,undirected
biweekly_14,daily_56,2,undirected
biweekly_14,daily_63,20,undirected
biweekly_15,biweekly_13,8,undirected
biweekly_15,biweekly_14,30,undirected
biweekly_15,biweekly_16,6,undirected
biweekly_15,daily_3,16,undirected
biweekly_15,daily_39,4,undirected
biweekly_15,daily_62,14,undirected
biweekly_16,biweekly_13,6,undirected
biweekly_16,biweekly_15,6,undirected
biweekly_16,monthly_12,24,undirected
biweekly_16,monthly_8,4,undirected
biweekly_16,weekly_26,10,undirected
biweekly_16,weekly_92,10,undirected
daily_1,daily_39,2,undirected
daily_1,daily_4,30,undirected
daily_1,daily_5,16,undirected
daily_1,daily_63,10,undirected
daily_1,daily_64,2,undirected
daily_1,weekly_72,12,undirected
daily_1,weekly_74,6,undirected
daily_1,weekly_76,4,undirected
daily_17,daily_18,60,undirected
daily_17,daily_19,48,undirected
daily_17,daily_20,10,undirected
daily_17,daily_21,20,undirected
daily_17,monthly_8,4,undirected
daily_17,weekly_71,8,undirected
daily_17,weekly_76,6,undirected
daily_18,daily_17,60,undirected
daily_18,daily_19,20,undirected
daily_18,daily_21,20,undirected
daily_18,weekly_71,18,undirected
daily_18,weekly_76,4,undirected
daily_19,daily_17,48,undirected
daily_19,daily_18,20,undirected
daily_19,daily_20,38,undirected
daily_19,daily_21,52,undirected
daily_2,daily_3,40,undirected
daily_2,daily_39,2,undirected
daily_2,daily_4,4,undirected
daily_2,daily_5,20,undirected
daily_2,daily_70,4,undirected
daily_20,daily_17,10,undirected
daily_20,daily_19,38,undirected
daily_20,daily_21,22,undirected
daily_21,daily_17,20,undirected
daily_21,daily_18,20,undirected
daily_21,daily_19,52,undirected
daily_21,daily_20,22,undirected
daily_27,daily_29,24,undirected
daily_27,daily_31,10,undirected
daily_27,daily_32,26,undirected
daily_28,daily_29,8,undirected
daily_28,daily_30,18,undirected
daily_28,daily_31,30,undirected
daily_28,daily_32,4,undirected
daily_29,daily_27,24,undirected
daily_29,daily_28,8,undirected
daily_29,daily_30,52,undirected
daily_29,daily_31,32,undirected
daily_29,daily_32,24,undirected
daily_3,biweekly_15,16,undirected
daily_3,daily_2,40,undirected
daily_3,daily_39,16,undirected
daily_3,daily_4,2,undirected
daily_3,daily_5,50,undirected
daily_3,daily_62,2,undirected
daily_3,daily_69,2,undirected
daily_3,daily_70,4,undirected
daily_3,daily_78,8,undirected
daily_3,daily_79,4,undirected
daily_3,daily_80,6,undirected
daily_3,weekly_25,20,undirected
daily_30,daily_28,18,undirected
daily_30,daily_29,52,undirected
daily_30,daily_31,58,undirected
daily_30,daily_32,16,undirected
daily_30,daily_39,2,undirected
daily_30,daily_56,6,undirected
daily_30,daily_66,2,undirected
daily_31,daily_27,10,undirected
daily_31,daily_28,30,undirected
daily_31,daily_29,32,undirected
daily_31,daily_30,58,undirected
daily_31,daily_32,48,undirected
daily_32,daily_27,26,undirected
daily_32,daily_28,4,undirected
daily_32,daily_29,24,undirected
daily_32,daily_30,16,undirected
daily_32,daily_31,48,undirected
daily_33,daily_35,12,undirected
daily_33,daily_37,12,undirected
daily_33,daily_39,18,undirected
daily_33,daily_42,12,undirected
daily_33,daily_44,6,undirected
daily_33,daily_46,6,undirected
daily_34,daily_35,22,undirected
daily_34,daily_36,34,undirected
daily_34,daily_40,28,undirected
daily_34,daily_41,10,undirected
daily_34,daily_42,12,undirected
daily_34,daily_43,30,undirected
daily_34,daily_46,2,undirected
daily_34,daily_47,10,undirected
daily_34,daily_56,12,undirected
daily_34,daily_58,10,undirected
daily_34,daily_84,30,undirected
daily_34,daily_87,24,undirected
daily_35,daily_33,12,undirected
daily_35,daily_34,22,undirected
daily_35,daily_36,26,undirected
daily_35,daily_37,30,undirected
daily_35,daily_42,2,undirected
daily_35,daily_44,4,undirected
daily_36,daily_34,34,undirected
daily_36,daily_35,26,undirected
daily_36,daily_37,48,undirected
daily_36,daily_40,4,undirected
daily_36,daily_43,16,undirected
daily_36,daily_49,12,undirected
daily_36,daily_51,22,undirected
daily_36,daily_52,24,undirected
daily_36,daily_58,2,undirected
daily_36,daily_61,24,undirected
daily_36,daily_77,6,undirected
daily_36,daily_78,4,undirected
daily_36,daily_79,4,undirected
daily_36,daily_85,2,undirected
daily_36,daily_86,14,undirected
daily_36,daily_87,2,undirected
daily_37,daily_33,12,undirected
daily_37,daily_35,30,undirected
daily_37,daily_36,48,undirected
daily_37,daily_38,2,undirected
daily_37,daily_39,6,undirected
daily_37,daily_43,6,undirected
daily_37,daily_45,6,undirected
daily_37,daily_46,6,undirected
daily_37,daily_51,6,undirected
daily_37,daily_58,22,undirected
daily_37,daily_79,6,undirected
daily_37,daily_85,2,undirected
daily_37,daily_86,22,undirected
daily_38,daily_37,2,undirected
daily_38,daily_48,16,undirected
daily_38,daily_53,4,undirected
daily_38,daily_54,4,undirected
daily_38,daily_56,4,undirected
daily_38,daily_58,30,undirected
daily_38,daily_68,16,undirected
daily_39,biweekly_13,10,undirected
daily_39,biweekly_15,4,undirected
daily_39,daily_1,2,undirected
daily_39,daily_2,2,undirected
daily_39,daily_3,16,undirected
daily_39,daily_30,2,undirected
daily_39,daily_33,18,undirected
daily_39,daily_37,6,undirected
daily_39,daily_4,26,undirected
daily_39,daily_42,4,undirected
daily_39,daily_45,14,undirected
daily_39,daily_46,18,undirected
daily_39,daily_61,16,undirected
daily_39,daily_62,36,undirected
daily_39,daily_64,2,undirected
daily_39,daily_66,20,undirected
daily_39,daily_67,12,undirected
daily_39,daily_69,16,undirected
daily_39,daily_70,2,undirected
daily_39,daily_86,6,undirected
daily_39,weekly_25,2,undirected
daily_39,weekly_75,2,undirected
daily_39,weekly_91,2,undirected
daily_4,daily_1,30,undirected
daily_4,daily_2,4,undirected
daily_4,daily_3,2,undirected
daily_4,daily_39,26,undirected
daily_4,daily_45,2,undirected
daily_4,daily_5,60,undirected
daily_4,daily_55,46,undirected
daily_4,daily_61,6,undirected
daily_4,daily_63,20,undirected
daily_4,daily_80,8,undirected
daily_4,weekly_75,6,undirected
daily_4,weekly_76,14,undirected
daily_40,daily_34,28,undirected
daily_40,daily_36,4,undirected
daily_40,daily_41,30,undirected
daily_40,daily_47,2,undirected
daily_40,daily_56,12,undirected
daily_40,daily_59,4,undirected
daily_40,daily_68,14,undirected
daily_41,daily_34,10,undirected
daily_41,daily_40,30,undirected
daily_41,daily_48,4,undirected
daily_41,daily_53,4,undirected
daily_41,daily_57,14,undirected
daily_41,daily_59,2,undirected
daily_41,daily_88,6,undirected
daily_42,daily_33,12,undirected
daily_42,daily_34,12,undirected
daily_42,daily_35,2,undirected
daily_42,daily_39,4,undirected
daily_42,daily_46,6,undirected
daily_42,daily_52,6,undirected
daily_42,daily_63,24,undirected
daily_42,daily_64,12,undirected
daily_43,daily_34,30,undirected
daily_43,daily_36,16,undirected
daily_43,daily_37,6,undirected
daily_43,daily_50,2,undirected
daily_43,daily_56,2,undirected
daily_43,daily_58,4,undirected
daily_43,daily_84,4,undirected
daily_44,daily_33,6,undirected
daily_44,daily_35,4,undirected
daily_44,daily_46,4,undirected
daily_44,daily_56,16,undirected
daily_44,daily_57,6,undirected
daily_44,daily_60,24,undirected
daily_45,daily_37,6,undirected
daily_45,daily_39,14,undirected
daily_45,daily_4,2,undirected
daily_45,daily_46,16,undirected
daily_45,daily_49,2,undirected
daily_45,daily_50,14,undirected
daily_45,daily_56,4,undirected
daily_45,daily_62,20,undirected
daily_45,daily_79,2,undirected
daily_45,weekly_73,4,undirected
daily_46,daily_33,6,undirected
daily_46,daily_34,2,undirected
daily_46,daily_37,6,undirected
daily_46,daily_39,18,undirected
daily_46,daily_42,6,undirected
daily_46,daily_44,4,undirected
daily_46,daily_45,16,undirected
daily_46,daily_47,2,undirected
daily_46,daily_50,6,undirected
daily_46,daily_60,6,undirected
daily_46,daily_61,28,undirected
daily_46,weekly_22,2,undirected
daily_47,daily_34,10,undirected
daily_47,daily_40,2,undirected
daily_47,daily_46,2,undirected
daily_47,daily_56,14,undirected
daily_47,daily_57,28,undirected
daily_47,daily_58,4,undirected
daily_47,daily_61,2,undirected
daily_48,daily_38,16,undirected
daily_48,daily_41,4,undirected
daily_48,daily_57,10,undirected
daily_48,daily_59,30,undirected
daily_48,weekly_90,6,undirected
daily_49,daily_36,12,undirected
daily_49,daily_45,2,undirected
daily_49,daily_5,4,undirected
daily_49,daily_55,30,undirected
daily_49,daily_63,4,undirected
daily_49,daily_79,10,undirected
daily_5,daily_1,16,undirected
daily_5,daily_2,20,undirected
daily_5,daily_3,50,undirected
daily_5,daily_4,60,undirected
daily_5,daily_49,4,undirected
daily_5,daily_55,24,undirected
daily_5,daily_61,2,undirected
daily_5,daily_63,4,undirected
daily_5,weekly_25,4,undirected
daily_50,daily_43,2,undirected
daily_50,daily_45,14,undirected
daily_50,daily_46,6,undirected
daily_50,daily_56,2,undirected
daily_50,daily_61,16,undirected
daily_50,daily_62,18,undirected
daily_50,daily_66,2,undirected
daily_50,weekly_75,2,undirected
daily_50,weekly_76,8,undirected
daily_51,daily_36,22,undirected
daily_51,daily_37,6,undirected
daily_51,daily_52,32,undirected
daily_51,daily_61,2,undirected
daily_51,daily_63,4,undirected
daily_51,daily_64,20,undirected
daily_52,daily_36,24,undirected
daily_52,daily_42,6,undirected
daily_52,daily_51,32,undirected
daily_52,daily_63,2,undirected
daily_52,daily_64,2,undirected
daily_53,daily_38,4,undirected
daily_53,daily_41,4,undirected
daily_53,daily_56,8,undirected
daily_53,daily_57,20,undirected
daily_53,daily_58,30,undirected
