Source,Target,Weight,Type
biweekly_13,biweekly_14,6,undirected
biweekly_13,biweekly_15,3,undirected
biweekly_13,daily_64,2,undirected
biweekly_14,biweekly_13,6,undirected
biweekly_14,biweekly_15,5,undirected
biweekly_14,daily_63,1,undirected
biweekly_15,biweekly_13,3,undirected
biweekly_15,biweekly_14,5,undirected
biweekly_15,biweekly_16,1,undirected
biweekly_15,daily_62,1,undirected
biweekly_16,biweekly_15,1,undirected
biweekly_16,monthly_12,3,undirected
biweekly_16,weekly_92,2,undirected
daily_1,daily_4,3,undirected
daily_1,daily_5,1,undirected
daily_1,daily_63,2,undirected
daily_1,weekly_76,1,undirected
daily_17,daily_18,6,undirected
daily_17,daily_19,4,undirected
daily_17,daily_20,1,undirected
daily_17,daily_21,2,undirected
daily_17,monthly_8,1,undirected
daily_17,weekly_71,2,undirected
daily_17,weekly_72,2,undirected
daily_17,weekly_76,1,undirected
daily_18,daily_17,6,undirected
daily_18,daily_19,3,undirected
daily_18,daily_21,1,undirected
daily_18,weekly_71,3,undirected
daily_18,weekly_76,1,undirected
daily_19,daily_17,4,undirected
daily_19,daily_18,3,undirected
daily_19,daily_20,3,undirected
daily_19,daily_21,6,undirected
daily_2,daily_3,3,undirected
daily_2,daily_4,1,undirected
daily_2,daily_5,2,undirected
daily_20,daily_17,1,undirected
daily_20,daily_19,3,undirected
daily_20,daily_21,2,undirected
daily_21,daily_17,2,undirected
daily_21,daily_18,1,undirected
daily_21,daily_19,6,undirected
daily_21,daily_20,2,undirected
daily_27,daily_29,1,undirected
daily_27,daily_31,2,undirected
daily_27,daily_32,5,undirected
daily_28,daily_30,1,undirected
daily_28,daily_31,2,undirected
daily_28,daily_32,3,undirected
daily_29,daily_27,1,undirected
daily_29,daily_30,5,undirected
daily_29,daily_31,3,undirected
daily_29,daily_32,2,undirected
daily_3,daily_2,3,undirected
daily_3,daily_39,2,undirected
daily_3,daily_4,1,undirected
daily_3,daily_5,5,undirected
daily_3,daily_55,1,undirected
daily_3,daily_79,1,undirected
daily_3,daily_83,2,undirected
daily_3,weekly_25,2,undirected
daily_30,daily_28,1,undirected
daily_30,daily_29,5,undirected
daily_30,daily_31,6,undirected
daily_30,daily_56,1,undirected
daily_31,daily_27,2,undirected
daily_31,daily_28,2,undirected
daily_31,daily_29,3,undirected
daily_31,daily_30,6,undirected
daily_31,daily_32,5,undirected
daily_32,daily_27,5,undirected
daily_32,daily_28,3,undirected
daily_32,daily_29,2,undirected
daily_32,daily_31,5,undirected
daily_33,daily_37,2,undirected
daily_33,daily_39,3,undirected
daily_33,daily_4,1,undirected
daily_34,daily_35,2,undirected
daily_34,daily_36,3,undirected
daily_34,daily_40,2,undirected
daily_34,daily_41,1,undirected
daily_34,daily_42,1,undirected
daily_34,daily_43,3,undirected
daily_34,daily_58,2,undirected
daily_34,daily_64,1,undirected
daily_34,daily_84,3,undirected
daily_34,daily_87,3,undirected
daily_35,daily_34,2,undirected
daily_35,daily_36,3,undirected
daily_35,daily_37,1,undirected
daily_36,daily_34,3,undirected
daily_36,daily_35,3,undirected
daily_36,daily_37,5,undirected
daily_36,daily_40,3,undirected
daily_36,daily_43,1,undirected
daily_36,daily_49,2,undirected
daily_36,daily_51,3,undirected
daily_36,daily_52,3,undirected
daily_36,daily_58,1,undirected
daily_36,daily_61,3,undirected
daily_36,daily_77,2,undirected
daily_36,daily_78,1,undirected
daily_36,daily_79,2,undirected
daily_36,daily_87,1,undirected
daily_37,daily_33,2,undirected
daily_37,daily_35,1,undirected
daily_37,daily_36,5,undirected
daily_37,daily_39,1,undirected
daily_37,daily_58,2,undirected
daily_38,daily_48,1,undirected
daily_38,daily_54,1,undirected
daily_38,daily_58,3,undirected
daily_38,daily_68,2,undirected
daily_39,daily_3,2,undirected
daily_39,daily_33,3,undirected
daily_39,daily_37,1,undirected
daily_39,daily_4,3,undirected
daily_39,daily_45,2,undirected
daily_39,daily_46,3,undirected
daily_39,daily_60,2,undirected
daily_39,daily_61,1,undirected
daily_39,daily_62,2,undirected
daily_39,daily_66,2,undirected
daily_39,daily_67,2,undirected
daily_39,daily_69,3,undirected
daily_39,daily_86,3,undirected
daily_39,weekly_25,1,undirected
daily_4,daily_1,3,undirected
daily_4,daily_2,1,undirected
daily_4,daily_3,1,undirected
daily_4,daily_33,1,undirected
daily_4,daily_39,3,undirected
daily_4,daily_45,1,undirected
daily_4,daily_5,6,undirected
