Source,Target,Weight,Type
1867_33,1867_35,12,undirected
1867_33,1867_37,12,undirected
1867_33,1867_39,18,undirected
1867_33,1880_42,12,undirected
1867_33,1880_44,6,undirected
1867_33,1880_46,6,undirected
1867_34,1867_35,22,undirected
1867_34,1867_36,34,undirected
1867_34,1880_40,28,undirected
1867_34,1880_41,10,undirected
1867_34,1880_42,12,undirected
1867_34,1880_43,30,undirected
1867_34,1880_46,2,undirected
1867_34,1880_47,10,undirected
1867_34,1883_84,30,undirected
1867_34,1896_87,24,undirected
1867_34,1917_56,12,undirected
1867_34,1917_58,10,undirected
1867_35,1867_33,12,undirected
1867_35,1867_34,22,undirected
1867_35,1867_36,26,undirected
1867_35,1867_37,30,undirected
1867_35,1880_42,2,undirected
1867_35,1880_44,4,undirected
1867_36,1867_34,34,undirected
1867_36,1867_35,26,undirected
1867_36,1867_37,48,undirected
1867_36,1875_49,12,undirected
1867_36,1875_51,22,undirected
1867_36,1875_52,24,undirected
1867_36,1880_40,4,undirected
1867_36,1880_43,16,undirected
1867_36,1883_77,6,undirected
1867_36,1883_78,4,undirected
1867_36,1883_79,4,undirected
1867_36,1883_85,2,undirected
1867_36,1883_86,14,undirected
1867_36,1896_87,2,undirected
1867_36,1917_58,2,undirected
1867_36,1917_61,24,undirected
1867_37,1867_33,12,undirected
1867_37,1867_35,30,undirected
1867_37,1867_36,48,undirected
1867_37,1867_38,2,undirected
1867_37,1867_39,6,undirected
1867_37,1875_51,6,undirected
1867_37,1880_43,6,undirected
1867_37,1880_45,6,undirected
1867_37,1880_46,6,undirected
1867_37,1883_79,6,undirected
1867_37,1883_85,2,undirected
1867_37,1883_86,22,undirected
1867_37,1917_58,22,undirected
1867_38,1867_37,2,undirected
1867_38,1875_53,4,undirected
1867_38,1875_54,4,undirected
1867_38,1880_48,16,undirected
1867_38,1916_68,16,undirected
1867_38,1917_56,4,undirected
1867_38,1917_58,30,undirected
1867_39,1867_33,18,undirected
1867_39,1867_37,6,undirected
1867_39,1880_42,4,undirected
1867_39,1880_45,14,undirected
1867_39,1880_46,18,undirected
1867_39,1883_86,6,undirected
1867_39,1895_25,2,undirected
1867_39,1906_75,2,undirected
1867_39,1907_91,2,undirected
1867_39,1916_66,20,undirected
1867_39,1916_67,12,undirected
1867_39,1916_69,16,undirected
1867_39,1916_70,2,undirected
1867_39,1917_61,16,undirected
1867_39,1917_62,36,undirected
1867_39,1917_64,2,undirected
1867_39,1929_30,2,undirected
1867_39,1930_1,2,undirected
1867_39,1930_2,2,undirected
1867_39,1930_3,16,undirected
1867_39,1930_4,26,undirected
1867_39,1933_13,10,undirected
1867_39,1933_15,4,undirected
1875_49,1867_36,12,undirected
1875_49,1875_55,30,undirected
1875_49,1880_45,2,undirected
1875_49,1883_79,10,undirected
1875_49,1917_63,4,undirected
1875_49,1930_5,4,undirected
1875_50,1880_43,2,undirected
1875_50,1880_45,14,undirected
1875_50,1880_46,6,undirected
1875_50,1906_75,2,undirected
1875_50,1906_76,8,undirected
1875_50,1916_66,2,undirected
1875_50,1917_56,2,undirected
1875_50,1917_61,16,undirected
1875_50,1917_62,18,undirected
1875_51,1867_36,22,undirected
1875_51,1867_37,6,undirected
1875_51,1875_52,32,undirected
1875_51,1917_61,2,undirected
1875_51,1917_63,4,undirected
1875_51,1917_64,20,undirected
1875_52,1867_36,24,undirected
1875_52,1875_51,32,undirected
1875_52,1880_42,6,undirected
1875_52,1917_63,2,undirected
1875_52,1917_64,2,undirected
1875_53,1867_38,4,undirected
1875_53,1880_41,4,undirected
1875_53,1916_68,2,undirected
1875_53,1917_56,8,undirected
1875_53,1917_57,20,undirected
1875_53,1917_58,30,undirected
1875_53,1917_59,14,undirected
1875_54,1867_38,4,undirected
1875_54,1895_23,16,undirected
1875_54,1916_70,14,undirected
1875_54,1917_58,30,undirected
1875_54,1917_60,22,undirected
1875_55,1875_49,30,undirected
1875_55,1883_80,2,undirected
1875_55,1895_24,6,undirected
1875_55,1907_92,6,undirected
1875_55,1916_66,2,undirected
1875_55,1916_9,6,undirected
1875_55,1917_61,4,undirected
1875_55,1917_63,6,undirected
1875_55,1930_4,46,undirected
1875_55,1930_5,24,undirected
1875_55,1930_6,4,undirected
1880_40,1867_34,28,undirected
1880_40,1867_36,4,undirected
1880_40,1880_41,30,undirected
1880_40,1880_47,2,undirected
1880_40,1916_68,14,undirected
1880_40,1917_56,12,undirected
1880_40,1917_59,4,undirected
1880_41,1867_34,10,undirected
1880_41,1875_53,4,undirected
1880_41,1880_40,30,undirected
1880_41,1880_48,4,undirected
1880_41,1896_88,6,undirected
1880_41,1917_57,14,undirected
1880_41,1917_59,2,undirected
1880_42,1867_33,12,undirected
1880_42,1867_34,12,undirected
1880_42,1867_35,2,undirected
1880_42,1867_39,4,undirected
1880_42,1875_52,6,undirected
1880_42,1880_46,6,undirected
1880_42,1917_63,24,undirected
1880_42,1917_64,12,undirected
1880_43,1867_34,30,undirected
1880_43,1867_36,16,undirected
1880_43,1867_37,6,undirected
1880_43,1875_50,2,undirected
1880_43,1883_84,4,undirected
1880_43,1917_56,2,undirected
1880_43,1917_58,4,undirected
1880_44,1867_33,6,undirected
1880_44,1867_35,4,undirected
1880_44,1880_46,4,undirected
1880_44,1917_56,16,undirected
1880_44,1917_57,6,undirected
1880_44,1917_60,24,undirected
1880_45,1867_37,6,undirected
1880_45,1867_39,14,undirected
1880_45,1875_49,2,undirected
1880_45,1875_50,14,undirected
1880_45,1880_46,16,undirected
1880_45,1883_79,2,undirected
1880_45,1906_73,4,undirected
1880_45,1917_56,4,undirected
1880_45,1917_62,20,undirected
1880_45,1930_4,2,undirected
1880_46,1867_33,6,undirected
1880_46,1867_34,2,undirected
1880_46,1867_37,6,undirected
1880_46,1867_39,18,undirected
1880_46,1875_50,6,undirected
1880_46,1880_42,6,undirected
1880_46,1880_44,4,undirected
1880_46,1880_45,16,undirected
1880_46,1880_47,2,undirected
1880_46,1895_22,2,undirected
1880_46,1917_60,6,undirected
1880_46,1917_61,28,undirected
1880_47,1867_34,10,undirected
1880_47,1880_40,2,undirected
1880_47,1880_46,2,undirected
1880_47,1917_56,14,undirected
1880_47,1917_57,28,undirected
1880_47,1917_58,4,undirected
1880_47,1917_61,2,undirected
1880_48,1867_38,16,undirected
1880_48,1880_41,4,undirected
1880_48,1907_90,6,undirected
1880_48,1917_57,10,undirected
1880_48,1917_59,30,undirected
1883_77,1867_36,6,undirected
1883_77,1883_78,46,undirected
1883_77,1883_79,4,undirected
1883_77,1883_80,18,undirected
1883_77,1883_81,30,undirected
1883_77,1883_82,8,undirected
1883_77,1883_83,28,undirected
1883_78,1867_36,4,undirected
1883_78,1883_77,46,undirected
1883_78,1883_82,54,undirected
1883_78,1930_3,8,undirected
1883_79,1867_36,4,undirected
1883_79,1867_37,6,undirected
1883_79,1875_49,10,undirected
1883_79,1880_45,2,undirected
1883_79,1883_77,4,undirected
1883_79,1883_80,36,undirected
1883_79,1883_86,8,undirected
1883_79,1906_73,4,undirected
1883_79,1930_3,4,undirected
1883_80,1875_55,2,undirected
1883_80,1883_77,18,undirected
1883_80,1883_79,36,undirected
1883_80,1883_81,44,undirected
1883_80,1883_82,48,undirected
1883_80,1930_3,6,undirected
1883_80,1930_4,8,undirected
1883_81,1883_77,30,undirected
1883_81,1883_80,44,undirected
1883_81,1883_82,8,undirected
1883_81,1883_83,2,undirected
1883_81,1883_86,4,undirected
1883_82,1883_77,8,undirected
1883_82,1883_78,54,undirected
1883_82,1883_80,48,undirected
1883_82,1883_81,8,undirected
1883_82,1906_73,2,undirected
1883_83,1883_77,28,undirected
1883_83,1883_81,2,undirected
1883_83,1883_84,14,undirected
1883_83,1883_85,4,undirected
1883_83,1916_68,10,undirected
1883_83,1917_57,4,undirected
1883_84,1867_34,30,undirected
1883_84,1880_43,4,undirected
1883_84,1883_83,14,undirected
1883_84,1916_67,8,undirected
1883_84,1917_57,4,undirected
1883_84,1917_58,12,undirected
1883_85,1867_36,2,undirected
1883_85,1867_37,2,undirected
1883_85,1883_83,4,undirected
1883_85,1883_86,36,undirected
1883_85,1916_66,10,undirected
1883_85,1916_67,8,undirected
1883_85,1916_68,8,undirected
1883_86,1867_36,14,undirected
1883_86,1867_37,22,undirected
1883_86,1867_39,6,undirected
1883_86,1883_79,8,undirected
1883_86,1883_81,4,undirected
1883_86,1883_85,36,undirected
1883_86,1916_68,4,undirected
1883_86,1917_58,8,undirected
1895_22,1880_46,2,undirected
1895_22,1895_23,60,undirected
1895_22,1896_87,12,undirected
1895_22,1916_66,16,undirected
1895_22,1917_58,12,undirected
1895_23,1875_54,16,undirected
1895_23,1895_22,60,undirected
1895_23,1895_25,14,undirected
1895_23,1896_87,6,undirected
1895_23,1917_58,4,undirected
1895_24,1875_55,6,undirected
1895_24,1895_25,60,undirected
1895_24,1895_26,30,undirected
1895_24,1907_91,6,undirected
1895_24,1907_92,40,undirected
1895_24,1930_7,4,undirected
1895_25,1867_39,2,undirected
1895_25,1895_23,14,undirected
1895_25,1895_24,60,undirected
1895_25,1895_26,10,undirected
1895_25,1907_93,2,undirected
1895_25,1907_94,2,undirected
1895_25,1930_3,20,undirected
1895_25,1930_5,4,undirected
1895_26,1895_24,30,undirected
1895_26,1895_25,10,undirected
1895_26,1907_92,16,undirected
1895_26,1917_56,4,undirected
1895_26,1933_16,10,undirected
1896_87,1867_34,24,undirected
1896_87,1867_36,2,undirected
1896_87,1895_22,12,undirected
1896_87,1895_23,6,undirected
1896_87,1896_88,20,undirected
1896_87,1917_58,16,undirected
1896_88,1880_41,6,undirected
1896_88,1896_87,20,undirected
1896_88,1896_89,10,undirected
1896_88,1907_90,4,undirected
1896_88,1917_57,4,undirected
1896_88,1917_59,30,undirected
1896_89,1896_88,10,undirected
1896_89,1907_90,60,undirected
1896_89,1917_59,20,undirected
1906_71,1906_76,22,undirected
1906_71,1910_100,4,undirected
1906_71,1910_96,6,undirected
1906_71,1910_98,2,undirected
