Source,Target,Weight,Type
1867_33,1867_37,4,undirected
1867_33,1867_39,6,undirected
1867_33,1930_4,2,undirected
1867_34,1867_35,4,undirected
1867_34,1867_36,6,undirected
1867_34,1880_40,4,undirected
1867_34,1880_41,2,undirected
1867_34,1880_42,2,undirected
1867_34,1880_43,6,undirected
1867_34,1883_84,6,undirected
1867_34,1896_87,6,undirected
1867_34,1917_58,4,undirected
1867_34,1917_64,2,undirected
1867_35,1867_34,4,undirected
1867_35,1867_36,6,undirected
1867_35,1867_37,2,undirected
1867_36,1867_34,6,undirected
1867_36,1867_35,6,undirected
1867_36,1867_37,10,undirected
1867_36,1875_49,4,undirected
1867_36,1875_51,6,undirected
1867_36,1875_52,6,undirected
1867_36,1880_40,6,undirected
1867_36,1880_43,2,undirected
1867_36,1883_77,4,undirected
1867_36,1883_78,2,undirected
1867_36,1883_79,4,undirected
1867_36,1896_87,2,undirected
1867_36,1917_58,2,undirected
1867_36,1917_61,6,undirected
1867_37,1867_33,4,undirected
1867_37,1867_35,2,undirected
1867_37,1867_36,10,undirected
1867_37,1867_39,2,undirected
1867_37,1917_58,4,undirected
1867_38,1875_54,2,undirected
1867_38,1880_48,2,undirected
1867_38,1916_68,4,undirected
1867_38,1917_58,6,undirected
1867_39,1867_33,6,undirected
1867_39,1867_37,2,undirected
1867_39,1880_45,4,undirected
1867_39,1880_46,6,undirected
1867_39,1883_86,6,undirected
1867_39,1895_25,2,undirected
1867_39,1916_66,4,undirected
1867_39,1916_67,4,undirected
1867_39,1916_69,6,undirected
1867_39,1917_60,4,undirected
1867_39,1917_61,2,undirected
1867_39,1917_62,4,undirected
1867_39,1930_3,4,undirected
1867_39,1930_4,6,undirected
1875_49,1867_36,4,undirected
1875_49,1875_55,6,undirected
1875_49,1917_63,2,undirected
1875_50,1917_56,2,undirected
1875_50,1917_61,4,undirected
1875_50,1917_62,6,undirected
1875_51,1867_36,6,undirected
1875_51,1875_52,4,undirected
1875_51,1917_64,4,undirected
1875_51,1930_4,2,undirected
1875_52,1867_36,6,undirected
1875_52,1875_51,4,undirected
1875_52,1917_63,2,undirected
1875_53,1917_56,2,undirected
1875_53,1917_57,4,undirected
1875_53,1917_58,6,undirected
1875_54,1867_38,2,undirected
1875_54,1880_44,2,undirected
1875_54,1895_23,4,undirected
1875_54,1917_56,2,undirected
1875_54,1917_58,4,undirected
1875_54,1917_60,6,undirected
1875_55,1875_49,6,undirected
1875_55,1907_92,2,undirected
1875_55,1916_66,2,undirected
1875_55,1930_3,2,undirected
1875_55,1930_4,8,undirected
1875_55,1930_5,4,undirected
1880_40,1867_34,4,undirected
1880_40,1867_36,6,undirected
1880_40,1880_41,4,undirected
1880_40,1916_68,2,undirected
1880_41,1867_34,2,undirected
1880_41,1880_40,4,undirected
1880_41,1917_57,6,undirected
1880_42,1867_34,2,undirected
1880_42,1917_63,6,undirected
1880_42,1917_64,4,undirected
1880_43,1867_34,6,undirected
1880_43,1867_36,2,undirected
1880_43,1917_58,4,undirected
1880_44,1875_54,2,undirected
1880_44,1917_56,4,undirected
1880_44,1917_60,6,undirected
1880_45,1867_39,4,undirected
1880_45,1917_62,6,undirected
1880_45,1930_4,2,undirected
1880_46,1867_39,6,undirected
1880_46,1917_60,4,undirected
1880_46,1917_61,2,undirected
1880_47,1917_56,4,undirected
1880_47,1917_57,6,undirected
1880_47,1917_58,2,undirected
1880_48,1867_38,2,undirected
1880_48,1907_90,4,undirected
1880_48,1917_57,4,undirected
1880_48,1917_59,6,undirected
1883_77,1867_36,4,undirected
1883_77,1883_78,12,undirected
1883_77,1883_80,2,undirected
1883_77,1883_81,2,undirected
1883_77,1883_82,2,undirected
1883_77,1883_83,6,undirected
1883_78,1867_36,2,undirected
1883_78,1883_77,12,undirected
1883_78,1883_82,8,undirected
1883_79,1867_36,4,undirected
1883_79,1883_80,10,undirected
1883_79,1930_3,2,undirected
1883_80,1883_77,2,undirected
1883_80,1883_79,10,undirected
1883_80,1883_81,6,undirected
1883_80,1883_82,12,undirected
1883_80,1930_4,2,undirected
1883_81,1883_77,2,undirected
1883_81,1883_80,6,undirected
1883_81,1883_82,4,undirected
1883_82,1883_77,2,undirected
1883_82,1883_78,8,undirected
1883_82,1883_80,12,undirected
1883_82,1883_81,4,undirected
1883_83,1883_77,6,undirected
1883_83,1917_57,2,undirected
1883_83,1930_3,4,undirected
1883_84,1867_34,6,undirected
1883_84,1917_57,2,undirected
1883_84,1917_58,4,undirected
1883_85,1883_86,6,undirected
1883_85,1916_66,4,undirected
1883_85,1916_67,2,undirected
1883_86,1867_39,6,undirected
1883_86,1883_85,6,undirected
1883_86,1917_58,4,undirected
1883_86,1917_61,2,undirected
1895_22,1895_23,12,undirected
1895_22,1916_66,2,undirected
1895_22,1917_58,4,undirected
1895_23,1875_54,4,undirected
