Source,Target,Weight,Type
barcelona_71,barcelona_76,22,undirected
barcelona_71,madrid_100,4,undirected
barcelona_71,madrid_17,8,undirected
barcelona_71,madrid_18,18,undirected
barcelona_71,madrid_96,6,undirected
barcelona_71,madrid_98,2,undirected
barcelona_72,barcelona_75,22,undirected
barcelona_72,barcelona_76,26,undirected
barcelona_72,madrid_1,12,undirected
barcelona_73,barcelona_74,8,undirected
barcelona_73,barcelona_75,50,undirected
barcelona_73,barcelona_76,16,undirected
barcelona_73,barcelona_79,4,undirected
barcelona_73,barcelona_82,2,undirected
barcelona_73,madrid_45,4,undirected
barcelona_74,barcelona_73,8,undirected
barcelona_74,barcelona_75,30,undirected
barcelona_74,barcelona_76,20,undirected
barcelona_74,madrid_1,6,undirected
barcelona_75,barcelona_72,22,undirected
barcelona_75,barcelona_73,50,undirected
barcelona_75,barcelona_74,30,undirected
barcelona_75,barcelona_76,60,undirected
barcelona_75,madrid_39,2,undirected
barcelona_75,madrid_4,6,undirected
barcelona_75,madrid_50,2,undirected
barcelona_75,sevilla_8,2,undirected
barcelona_76,barcelona_71,22,undirected
barcelona_76,barcelona_72,26,undirected
barcelona_76,barcelona_73,16,undirected
barcelona_76,barcelona_74,20,undirected
barcelona_76,barcelona_75,60,undirected
barcelona_76,madrid_1,4,undirected
barcelona_76,madrid_17,6,undirected
barcelona_76,madrid_18,4,undirected
barcelona_76,madrid_4,14,undirected
barcelona_76,madrid_50,8,undirected
barcelona_76,madrid_62,8,undirected
barcelona_76,madrid_98,2,undirected
barcelona_76,sevilla_8,4,undirected
barcelona_77,barcelona_78,46,undirected
barcelona_77,barcelona_79,4,undirected
barcelona_77,barcelona_80,18,undirected
barcelona_77,barcelona_81,30,undirected
barcelona_77,barcelona_82,8,undirected
barcelona_77,barcelona_83,28,undirected
barcelona_77,madrid_36,6,undirected
barcelona_78,barcelona_77,46,undirected
barcelona_78,barcelona_82,54,undirected
barcelona_78,madrid_3,8,undirected
barcelona_78,madrid_36,4,undirected
barcelona_79,barcelona_73,4,undirected
barcelona_79,barcelona_77,4,undirected
barcelona_79,barcelona_80,36,undirected
barcelona_79,barcelona_86,8,undirected
barcelona_79,madrid_3,4,undirected
barcelona_79,madrid_36,4,undirected
barcelona_79,madrid_37,6,undirected
barcelona_79,madrid_45,2,undirected
barcelona_79,madrid_49,10,undirected
barcelona_80,barcelona_77,18,undirected
barcelona_80,barcelona_79,36,undirected
barcelona_80,barcelona_81,44,undirected
barcelona_80,barcelona_82,48,undirected
barcelona_80,madrid_3,6,undirected
barcelona_80,madrid_4,8,undirected
barcelona_80,madrid_55,2,undirected
barcelona_81,barcelona_77,30,undirected
barcelona_81,barcelona_80,44,undirected
barcelona_81,barcelona_82,8,undirected
barcelona_81,barcelona_83,2,undirected
barcelona_81,barcelona_86,4,undirected
barcelona_82,barcelona_73,2,undirected
barcelona_82,barcelona_77,8,undirected
barcelona_82,barcelona_78,54,undirected
