Source,Target,Weight,Type
barcelona_71,barcelona_76,1,undirected
barcelona_71,madrid_17,2,undirected
barcelona_71,madrid_18,3,undirected
barcelona_72,barcelona_75,1,undirected
barcelona_72,barcelona_76,3,undirected
barcelona_72,madrid_17,2,undirected
barcelona_73,barcelona_74,2,undirected
barcelona_73,barcelona_75,5,undirected
barcelona_73,barcelona_76,2,undirected
barcelona_74,barcelona_73,2,undirected
barcelona_74,barcelona_75,3,undirected
barcelona_74,barcelona_76,2,undirected
barcelona_75,barcelona_72,1,undirected
barcelona_75,barcelona_73,5,undirected
barcelona_75,barcelona_74,3,undirected
barcelona_75,barcelona_76,6,undirected
barcelona_75,madrid_4,1,undirected
barcelona_76,barcelona_71,1,undirected
barcelona_76,barcelona_72,3,undirected
barcelona_76,barcelona_73,2,undirected
barcelona_76,barcelona_74,2,undirected
barcelona_76,barcelona_75,6,undirected
barcelona_76,madrid_1,1,undirected
barcelona_76,madrid_17,1,undirected
barcelona_76,madrid_18,1,undirected
barcelona_76,madrid_4,2,undirected
barcelona_77,barcelona_78,6,undirected
barcelona_77,barcelona_80,1,undirected
barcelona_77,barcelona_81,1,undirected
barcelona_77,barcelona_82,1,undirected
barcelona_77,barcelona_83,3,undirected
barcelona_77,madrid_36,2,undirected
barcelona_78,barcelona_77,6,undirected
barcelona_78,barcelona_82,4,undirected
barcelona_78,madrid_36,1,undirected
barcelona_79,barcelona_80,5,undirected
barcelona_79,madrid_3,1,undirected
barcelona_79,madrid_36,2,undirected
barcelona_80,barcelona_77,1,undirected
barcelona_80,barcelona_79,5,undirected
barcelona_80,barcelona_81,3,undirected
barcelona_80,barcelona_82,6,undirected
barcelona_80,madrid_4,1,undirected
barcelona_81,barcelona_77,1,undirected
barcelona_81,barcelona_80,3,undirected
barcelona_81,barcelona_82,2,undirected
barcelona_82,barcelona_77,1,undirected
barcelona_82,barcelona_78,4,undirected
barcelona_82,barcelona_80,6,undirected
barcelona_82,barcelona_81,2,undirected
barcelona_83,barcelona_77,3,undirected
barcelona_83,madrid_3,2,undirected
barcelona_83,madrid_57,1,undirected
barcelona_84,madrid_34,3,undirected
barcelona_84,madrid_57,1,undirected
barcelona_84,madrid_58,2,undirected
barcelona_85,barcelona_86,3,undirected
barcelona_85,madrid_66,2,undirected
barcelona_85,madrid_67,1,undirected
barcelona_86,barcelona_85,3,undirected
barcelona_86,madrid_39,3,undirected
barcelona_86,madrid_58,2,undirected
barcelona_86,madrid_61,1,undirected
barcelona_87,barcelona_88,2,undirected
barcelona_87,madrid_34,3,undirected
barcelona_87,madrid_36,1,undirected
barcelona_87,madrid_58,2,undirected
barcelona_88,barcelona_87,2,undirected
barcelona_88,barcelona_89,1,undirected
barcelona_88,madrid_57,1,undirected
barcelona_88,madrid_59,3,undirected
