Source,Target,Weight,Type
anarchist_90,liberal_59,20,undirected
anarchist_90,liberal_88,4,undirected
anarchist_90,liberal_89,60,undirected
anarchist_90,republican_48,6,undirected
anarchist_91,anarchist_92,38,undirected
anarchist_91,anarchist_93,14,undirected
anarchist_91,anarchist_94,16,undirected
anarchist_91,anarchist_95,12,undirected
anarchist_91,conservative_68,2,undirected
anarchist_91,liberal_39,2,undirected
anarchist_91,liberal_56,22,undirected
anarchist_91,liberal_62,34,undirected
anarchist_91,liberal_63,2,undirected
anarchist_91,regionalist_11,4,undirected
anarchist_91,socialist_24,6,undirected
anarchist_91,socialist_6,18,undirected
anarchist_91,socialist_7,16,undirected
anarchist_92,anarchist_91,38,undirected
anarchist_92,anarchist_94,8,undirected
anarchist_92,carlist_16,10,undirected
anarchist_92,carlist_55,6,undirected
anarchist_92,socialist_24,40,undirected
anarchist_92,socialist_26,16,undirected
anarchist_92,socialist_6,20,undirected
anarchist_92,socialist_7,36,undirected
anarchist_93,anarchist_91,14,undirected
anarchist_93,anarchist_94,60,undirected
anarchist_93,anarchist_95,18,undirected
anarchist_93,liberal_58,4,undirected
anarchist_93,liberal_62,2,undirected
anarchist_93,socialist_25,2,undirected
anarchist_93,socialist_6,12,undirected
anarchist_93,socialist_7,6,undirected
anarchist_94,anarchist_91,16,undirected
anarchist_94,anarchist_92,8,undirected
anarchist_94,anarchist_93,60,undirected
anarchist_94,anarchist_95,4,undirected
anarchist_94,socialist_25,2,undirected
anarchist_95,anarchist_91,12,undirected
anarchist_95,anarchist_93,18,undirected
anarchist_95,anarchist_94,4,undirected
anarchist_95,liberal_56,4,undirected
anarchist_95,liberal_57,26,undirected
anarchist_95,liberal_58,8,undirected
carlist_13,carlist_14,60,undirected
carlist_13,carlist_15,8,undirected
carlist_13,carlist_16,6,undirected
carlist_13,liberal_39,10,undirected
carlist_13,liberal_64,16,undirected
carlist_14,carlist_13,60,undirected
carlist_14,carlist_15,30,undirected
carlist_14,liberal_56,2,undirected
carlist_14,liberal_63,20,undirected
carlist_15,carlist_13,8,undirected
carlist_15,carlist_14,30,undirected
carlist_15,carlist_16,6,undirected
carlist_15,liberal_39,4,undirected
carlist_15,liberal_62,14,undirected
carlist_15,socialist_3,16,undirected
carlist_16,anarchist_92,10,undirected
carlist_16,carlist_13,6,undirected
carlist_16,carlist_15,6,undirected
carlist_16,regionalist_12,24,undirected
carlist_16,regionalist_8,4,undirected
carlist_16,socialist_26,10,undirected
carlist_27,carlist_29,24,undirected
carlist_27,carlist_31,10,undirected
carlist_27,carlist_32,26,undirected
carlist_28,carlist_29,8,undirected
carlist_28,carlist_30,18,undirected
carlist_28,carlist_31,30,undirected
carlist_28,carlist_32,4,undirected
carlist_29,carlist_27,24,undirected
carlist_29,carlist_28,8,undirected
carlist_29,carlist_30,52,undirected
carlist_29,carlist_31,32,undirected
carlist_29,carlist_32,24,undirected
carlist_30,carlist_28,18,undirected
carlist_30,carlist_29,52,undirected
carlist_30,carlist_31,58,undirected
carlist_30,carlist_32,16,undirected
carlist_30,conservative_66,2,undirected
carlist_30,liberal_39,2,undirected
carlist_30,liberal_56,6,undirected
carlist_31,carlist_27,10,undirected
carlist_31,carlist_28,30,undirected
carlist_31,carlist_29,32,undirected
carlist_31,carlist_30,58,undirected
carlist_31,carlist_32,48,undirected
carlist_32,carlist_27,26,undirected
carlist_32,carlist_28,4,undirected
carlist_32,carlist_29,24,undirected
carlist_32,carlist_30,16,undirected
carlist_32,carlist_31,48,undirected
carlist_49,carlist_55,30,undirected
carlist_49,conservative_79,10,undirected
carlist_49,liberal_36,12,undirected
carlist_49,liberal_63,4,undirected
carlist_49,republican_45,2,undirected
carlist_49,socialist_5,4,undirected
carlist_50,conservative_66,2,undirected
carlist_50,liberal_56,2,undirected
carlist_50,liberal_61,16,undirected
carlist_50,liberal_62,18,undirected
carlist_50,nan_75,2,undirected
carlist_50,nan_76,8,undirected
carlist_50,republican_43,2,undirected
carlist_50,republican_45,14,undirected
carlist_50,republican_46,6,undirected
carlist_51,carlist_52,32,undirected
carlist_51,liberal_36,22,undirected
carlist_51,liberal_37,6,undirected
carlist_51,liberal_61,2,undirected
carlist_51,liberal_63,4,undirected
carlist_51,liberal_64,20,undirected
carlist_52,carlist_51,32,undirected
carlist_52,liberal_36,24,undirected
carlist_52,liberal_63,2,undirected
carlist_52,liberal_64,2,undirected
carlist_52,republican_42,6,undirected
carlist_53,conservative_68,2,undirected
carlist_53,liberal_38,4,undirected
carlist_53,liberal_56,8,undirected
carlist_53,liberal_57,20,undirected
carlist_53,liberal_58,30,undirected
carlist_53,liberal_59,14,undirected
carlist_53,republican_41,4,undirected
carlist_54,conservative_70,14,undirected
carlist_54,liberal_38,4,undirected
carlist_54,liberal_58,30,undirected
carlist_54,liberal_60,22,undirected
carlist_54,socialist_23,16,undirected
carlist_55,anarchist_92,6,undirected
carlist_55,carlist_49,30,undirected
carlist_55,conservative_66,2,undirected
carlist_55,conservative_80,2,undirected
carlist_55,liberal_61,4,undirected
carlist_55,liberal_63,6,undirected
carlist_55,regionalist_9,6,undirected
carlist_55,socialist_24,6,undirected
carlist_55,socialist_4,46,undirected
carlist_55,socialist_5,24,undirected
carlist_55,socialist_6,4,undirected
conservative_66,carlist_30,2,undirected
conservative_66,carlist_50,2,undirected
conservative_66,carlist_55,2,undirected
conservative_66,conservative_67,58,undirected
conservative_66,conservative_85,10,undirected
conservative_66,liberal_39,20,undirected
conservative_66,liberal_56,2,undirected
conservative_66,liberal_61,6,undirected
conservative_66,socialist_22,16,undirected
conservative_67,conservative_66,58,undirected
conservative_67,conservative_68,44,undirected
conservative_67,conservative_84,8,undirected
conservative_67,conservative_85,8,undirected
conservative_67,liberal_39,12,undirected
conservative_67,liberal_58,2,undirected
conservative_67,liberal_61,4,undirected
conservative_68,anarchist_91,2,undirected
conservative_68,carlist_53,2,undirected
conservative_68,conservative_67,44,undirected
conservative_68,conservative_69,18,undirected
conservative_68,conservative_83,10,undirected
conservative_68,conservative_85,8,undirected
conservative_68,conservative_86,4,undirected
conservative_68,liberal_38,16,undirected
conservative_68,liberal_56,8,undirected
conservative_68,liberal_58,8,undirected
conservative_68,liberal_65,6,undirected
conservative_68,republican_40,14,undirected
conservative_69,conservative_68,18,undirected
conservative_69,conservative_70,30,undirected
conservative_69,liberal_39,16,undirected
conservative_69,liberal_56,6,undirected
conservative_69,socialist_3,2,undirected
conservative_70,carlist_54,14,undirected
conservative_70,conservative_69,30,undirected
conservative_70,liberal_39,2,undirected
conservative_70,liberal_58,16,undirected
conservative_70,liberal_61,20,undirected
conservative_70,liberal_62,16,undirected
conservative_70,socialist_2,4,undirected
conservative_70,socialist_3,4,undirected
conservative_77,conservative_78,46,undirected
conservative_77,conservative_79,4,undirected
conservative_77,conservative_80,18,undirected
conservative_77,conservative_81,30,undirected
conservative_77,conservative_82,8,undirected
conservative_77,conservative_83,28,undirected
conservative_77,liberal_36,6,undirected
conservative_78,conservative_77,46,undirected
conservative_78,conservative_82,54,undirected
conservative_78,liberal_36,4,undirected
conservative_78,socialist_3,8,undirected
conservative_79,carlist_49,10,undirected
conservative_79,conservative_77,4,undirected
conservative_79,conservative_80,36,undirected
conservative_79,conservative_86,8,undirected
conservative_79,liberal_36,4,undirected
conservative_79,liberal_37,6,undirected
conservative_79,nan_73,4,undirected
conservative_79,republican_45,2,undirected
conservative_79,socialist_3,4,undirected
conservative_80,carlist_55,2,undirected
conservative_80,conservative_77,18,undirected
conservative_80,conservative_79,36,undirected
conservative_80,conservative_81,44,undirected
conservative_80,conservative_82,48,undirected
conservative_80,socialist_3,6,undirected
conservative_80,socialist_4,8,undirected
conservative_81,conservative_77,30,undirected
conservative_81,conservative_80,44,undirected
conservative_81,conservative_82,8,undirected
conservative_81,conservative_83,2,undirected
conservative_81,conservative_86,4,undirected
conservative_82,conservative_77,8,undirected
conservative_82,conservative_78,54,undirected
conservative_82,conservative_80,48,undirected
conservative_82,conservative_81,8,undirected
conservative_82,nan_73,2,undirected
conservative_83,conservative_68,10,undirected
conservative_83,conservative_77,28,undirected
conservative_83,conservative_81,2,undirected
conservative_83,conservative_84,14,undirected
conservative_83,conservative_85,4,undirected
conservative_83,liberal_57,4,undirected
conservative_84,conservative_67,8,undirected
conservative_84,conservative_83,14,undirected
conservative_84,liberal_34,30,undirected
conservative_84,liberal_57,4,undirected
conservative_84,liberal_58,12,undirected
conservative_84,republican_43,4,undirected
conservative_85,conservative_66,10,undirected
conservative_85,conservative_67,8,undirected
conservative_85,conservative_68,8,undirected
conservative_85,conservative_83,4,undirected
conservative_85,conservative_86,36,undirected
conservative_85,liberal_36,2,undirected
conservative_85,liberal_37,2,undirected
conservative_86,conservative_68,4,undirected
conservative_86,conservative_79,8,undirected
conservative_86,conservative_81,4,undirected
conservative_86,conservative_85,36,undirected
conservative_86,liberal_36,14,undirected
conservative_86,liberal_37,22,undirected
conservative_86,liberal_39,6,undirected
conservative_86,liberal_58,8,undirected
liberal_33,liberal_35,12,undirected
liberal_33,liberal_37,12,undirected
liberal_33,liberal_39,18,undirected
liberal_33,republican_42,12,undirected
liberal_33,republican_44,6,undirected
liberal_33,republican_46,6,undirected
liberal_34,conservative_84,30,undirected
liberal_34,liberal_35,22,undirected
liberal_34,liberal_36,34,undirected
liberal_34,liberal_56,12,undirected
liberal_34,liberal_58,10,undirected
liberal_34,liberal_87,24,undirected
liberal_34,republican_40,28,undirected
liberal_34,republican_41,10,undirected
liberal_34,republican_42,12,undirected
liberal_34,republican_43,30,undirected
liberal_34,republican_46,2,undirected
liberal_34,republican_47,10,undirected
liberal_35,liberal_33,12,undirected
liberal_35,liberal_34,22,undirected
liberal_35,liberal_36,26,undirected
liberal_35,liberal_37,30,undirected
liberal_35,republican_42,2,undirected
liberal_35,republican_44,4,undirected
liberal_36,carlist_49,12,undirected
liberal_36,carlist_51,22,undirected
liberal_36,carlist_52,24,undirected
liberal_36,conservative_77,6,undirected
liberal_36,conservative_78,4,undirected
liberal_36,conservative_79,4,undirected
liberal_36,conservative_85,2,undirected
liberal_36,conservative_86,14,undirected
liberal_36,liberal_34,34,undirected
liberal_36,liberal_35,26,undirected
liberal_36,liberal_37,48,undirected
liberal_36,liberal_58,2,undirected
liberal_36,liberal_61,24,undirected
liberal_36,liberal_87,2,undirected
liberal_36,republican_40,4,undirected
liberal_36,republican_43,16,undirected
liberal_37,carlist_51,6,undirected
liberal_37,conservative_79,6,undirected
liberal_37,conservative_85,2,undirected
liberal_37,conservative_86,22,undirected
liberal_37,liberal_33,12,undirected
liberal_37,liberal_35,30,undirected
liberal_37,liberal_36,48,undirected
liberal_37,liberal_38,2,undirected
liberal_37,liberal_39,6,undirected
liberal_37,liberal_58,22,undirected
liberal_37,republican_43,6,undirected
liberal_37,republican_45,6,undirected
liberal_37,republican_46,6,undirected
liberal_38,carlist_53,4,undirected
liberal_38,carlist_54,4,undirected
liberal_38,conservative_68,16,undirected
liberal_38,liberal_37,2,undirected
liberal_38,liberal_56,4,undirected
liberal_38,liberal_58,30,undirected
liberal_38,republican_48,16,undirected
liberal_39,anarchist_91,2,undirected
liberal_39,carlist_13,10,undirected
liberal_39,carlist_15,4,undirected
liberal_39,carlist_30,2,undirected
liberal_39,conservative_66,20,undirected
liberal_39,conservative_67,12,undirected
liberal_39,conservative_69,16,undirected
liberal_39,conservative_70,2,undirected
liberal_39,conservative_86,6,undirected
liberal_39,liberal_33,18,undirected
liberal_39,liberal_37,6,undirected
liberal_39,liberal_61,16,undirected
liberal_39,liberal_62,36,undirected
liberal_39,liberal_64,2,undirected
liberal_39,nan_75,2,undirected
liberal_39,republican_42,4,undirected
liberal_39,republican_45,14,undirected
liberal_39,republican_46,18,undirected
liberal_39,socialist_1,2,undirected
liberal_39,socialist_2,2,undirected
liberal_39,socialist_25,2,undirected
liberal_39,socialist_3,16,undirected
liberal_39,socialist_4,26,undirected
liberal_56,anarchist_91,22,undirected
liberal_56,anarchist_95,4,undirected
liberal_56,carlist_14,2,undirected
liberal_56,carlist_30,6,undirected
liberal_56,carlist_50,2,undirected
liberal_56,carlist_53,8,undirected
liberal_56,conservative_66,2,undirected
liberal_56,conservative_68,8,undirected
liberal_56,conservative_69,6,undirected
liberal_56,liberal_34,12,undirected
liberal_56,liberal_38,4,undirected
liberal_56,liberal_57,20,undirected
liberal_56,liberal_58,32,undirected
liberal_56,liberal_59,4,undirected
liberal_56,liberal_61,14,undirected
liberal_56,liberal_62,18,undirected
liberal_56,republican_40,12,undirected
liberal_56,republican_43,2,undirected
liberal_56,republican_44,16,undirected
liberal_56,republican_45,4,undirected
liberal_56,republican_47,14,undirected
liberal_56,socialist_26,4,undirected
liberal_57,anarchist_95,26,undirected
liberal_57,carlist_53,20,undirected
liberal_57,conservative_83,4,undirected
liberal_57,conservative_84,4,undirected
liberal_57,liberal_56,20,undirected
liberal_57,liberal_58,34,undirected
liberal_57,liberal_59,20,undirected
