Source,Target,Weight,Type
ahora_1,ahora_4,30,undirected
ahora_1,ahora_5,16,undirected
ahora_1,el imparcial_39,2,undirected
ahora_1,el sol_63,10,undirected
ahora_1,el sol_64,2,undirected
ahora_1,la actualidad_72,12,undirected
ahora_1,la actualidad_74,6,undirected
ahora_1,la actualidad_76,4,undirected
ahora_2,ahora_3,40,undirected
ahora_2,ahora_4,4,undirected
ahora_2,ahora_5,20,undirected
ahora_2,el imparcial_39,2,undirected
ahora_2,la accion_70,4,undirected
ahora_3,ahora_2,40,undirected
ahora_3,ahora_4,2,undirected
ahora_3,ahora_5,50,undirected
ahora_3,ceda_15,16,undirected
ahora_3,el cantábrico_25,20,undirected
ahora_3,el imparcial_39,16,undirected
ahora_3,el sol_62,2,undirected
ahora_3,la accion_69,2,undirected
ahora_3,la accion_70,4,undirected
ahora_3,la dinastia_78,8,undirected
ahora_3,la dinastia_79,4,undirected
ahora_3,la dinastia_80,6,undirected
ahora_4,ahora_1,30,undirected
ahora_4,ahora_2,4,undirected
ahora_4,ahora_3,2,undirected
ahora_4,ahora_5,60,undirected
ahora_4,el imparcial_39,26,undirected
ahora_4,el pais_45,2,undirected
ahora_4,el siglo futuro_55,46,undirected
ahora_4,el sol_61,6,undirected
ahora_4,el sol_63,20,undirected
ahora_4,la actualidad_75,6,undirected
ahora_4,la actualidad_76,14,undirected
ahora_4,la dinastia_80,8,undirected
ahora_5,ahora_1,16,undirected
ahora_5,ahora_2,20,undirected
ahora_5,ahora_3,50,undirected
ahora_5,ahora_4,60,undirected
ahora_5,el cantábrico_25,4,undirected
ahora_5,el siglo futuro_49,4,undirected
ahora_5,el siglo futuro_55,24,undirected
ahora_5,el sol_61,2,undirected
ahora_5,el sol_63,4,undirected
ahora_6,ahora_7,6,undirected
ahora_6,el siglo futuro_55,4,undirected
ahora_6,el sol_62,4,undirected
ahora_6,solidaridad obrera_91,18,undirected
ahora_6,solidaridad obrera_92,20,undirected
ahora_6,solidaridad obrera_93,12,undirected
ahora_7,ahora_6,6,undirected
ahora_7,el cantábrico_24,4,undirected
ahora_7,solidaridad obrera_91,16,undirected
ahora_7,solidaridad obrera_92,36,undirected
ahora_7,solidaridad obrera_93,6,undirected
andalucia_10,andalucia_11,30,undirected
andalucia_10,andalucia_12,60,undirected
andalucia_10,andalucia_8,34,undirected
andalucia_10,andalucia_9,48,undirected
andalucia_11,andalucia_10,30,undirected
andalucia_11,andalucia_12,18,undirected
andalucia_11,andalucia_8,2,undirected
andalucia_11,andalucia_9,6,undirected
andalucia_11,solidaridad obrera_91,4,undirected
andalucia_12,andalucia_10,60,undirected
andalucia_12,andalucia_11,18,undirected
andalucia_12,andalucia_8,2,undirected
andalucia_12,andalucia_9,38,undirected
