Source,Target,Weight,Type
anarchist_90,liberal_59,1,undirected
anarchist_90,liberal_89,6,undirected
anarchist_90,republican_48,2,undirected
anarchist_91,anarchist_92,6,undirected
anarchist_91,anarchist_93,2,undirected
anarchist_91,anarchist_94,2,undirected
anarchist_91,anarchist_95,3,undirected
anarchist_91,liberal_62,2,undirected
anarchist_91,liberal_63,1,undirected
anarchist_91,socialist_6,3,undirected
anarchist_91,socialist_7,2,undirected
anarchist_92,anarchist_91,6,undirected
anarchist_92,anarchist_94,1,undirected
anarchist_92,carlist_16,2,undirected
anarchist_92,carlist_55,1,undirected
anarchist_92,socialist_24,4,undirected
anarchist_92,socialist_26,1,undirected
anarchist_92,socialist_6,2,undirected
anarchist_92,socialist_7,3,undirected
anarchist_93,anarchist_91,2,undirected
anarchist_93,anarchist_94,6,undirected
anarchist_93,liberal_62,1,undirected
anarchist_94,anarchist_91,2,undirected
anarchist_94,anarchist_92,1,undirected
anarchist_94,anarchist_93,6,undirected
anarchist_95,anarchist_91,3,undirected
anarchist_95,liberal_57,2,undirected
anarchist_95,liberal_58,1,undirected
carlist_13,carlist_14,6,undirected
carlist_13,carlist_15,3,undirected
carlist_13,liberal_64,2,undirected
carlist_14,carlist_13,6,undirected
carlist_14,carlist_15,5,undirected
carlist_14,liberal_63,1,undirected
carlist_15,carlist_13,3,undirected
carlist_15,carlist_14,5,undirected
carlist_15,carlist_16,1,undirected
carlist_15,liberal_62,1,undirected
carlist_16,anarchist_92,2,undirected
carlist_16,carlist_15,1,undirected
carlist_16,regionalist_12,3,undirected
carlist_27,carlist_29,1,undirected
carlist_27,carlist_31,2,undirected
carlist_27,carlist_32,5,undirected
carlist_28,carlist_30,1,undirected
carlist_28,carlist_31,2,undirected
carlist_28,carlist_32,3,undirected
carlist_29,carlist_27,1,undirected
carlist_29,carlist_30,5,undirected
carlist_29,carlist_31,3,undirected
carlist_29,carlist_32,2,undirected
carlist_30,carlist_28,1,undirected
carlist_30,carlist_29,5,undirected
carlist_30,carlist_31,6,undirected
carlist_30,liberal_56,1,undirected
carlist_31,carlist_27,2,undirected
carlist_31,carlist_28,2,undirected
carlist_31,carlist_29,3,undirected
carlist_31,carlist_30,6,undirected
carlist_31,carlist_32,5,undirected
carlist_32,carlist_27,5,undirected
carlist_32,carlist_28,3,undirected
carlist_32,carlist_29,2,undirected
carlist_32,carlist_31,5,undirected
carlist_49,carlist_55,3,undirected
carlist_49,liberal_36,2,undirected
carlist_49,liberal_63,1,undirected
carlist_50,liberal_56,1,undirected
carlist_50,liberal_61,2,undirected
carlist_50,liberal_62,3,undirected
carlist_51,carlist_52,2,undirected
carlist_51,liberal_36,3,undirected
carlist_51,liberal_64,2,undirected
carlist_51,socialist_4,1,undirected
carlist_52,carlist_51,2,undirected
carlist_52,liberal_36,3,undirected
carlist_52,liberal_63,1,undirected
carlist_53,liberal_56,1,undirected
carlist_53,liberal_57,2,undirected
carlist_53,liberal_58,3,undirected
carlist_54,liberal_38,1,undirected
carlist_54,liberal_56,1,undirected
carlist_54,liberal_58,2,undirected
carlist_54,liberal_60,3,undirected
carlist_54,republican_44,1,undirected
carlist_54,socialist_23,2,undirected
carlist_55,anarchist_92,1,undirected
carlist_55,carlist_49,3,undirected
carlist_55,conservative_66,1,undirected
carlist_55,socialist_3,1,undirected
carlist_55,socialist_4,4,undirected
carlist_55,socialist_5,2,undirected
conservative_66,carlist_55,1,undirected
conservative_66,conservative_67,6,undirected
conservative_66,conservative_85,2,undirected
conservative_66,liberal_39,2,undirected
conservative_66,socialist_22,1,undirected
conservative_67,conservative_66,6,undirected
conservative_67,conservative_68,3,undirected
conservative_67,conservative_85,1,undirected
