Source,Target,Weight,Type
ahora_1,ahora_4,3,undirected
ahora_1,ahora_5,1,undirected
ahora_1,el sol_63,2,undirected
ahora_1,la actualidad_76,1,undirected
ahora_2,ahora_3,3,undirected
ahora_2,ahora_4,1,undirected
ahora_2,ahora_5,2,undirected
ahora_3,ahora_2,3,undirected
ahora_3,ahora_4,1,undirected
ahora_3,ahora_5,5,undirected
ahora_3,el cantábrico_25,2,undirected
ahora_3,el imparcial_39,2,undirected
ahora_3,el siglo futuro_55,1,undirected
ahora_3,la dinastia_79,1,undirected
ahora_3,la dinastia_83,2,undirected
ahora_4,ahora_1,3,undirected
ahora_4,ahora_2,1,undirected
ahora_4,ahora_3,1,undirected
ahora_4,ahora_5,6,undirected
ahora_4,el imparcial_33,1,undirected
ahora_4,el imparcial_39,3,undirected
ahora_4,el pais_45,1,undirected
ahora_4,el siglo futuro_51,1,undirected
ahora_4,el siglo futuro_55,4,undirected
ahora_4,el sol_63,4,undirected
ahora_4,la actualidad_75,1,undirected
ahora_4,la actualidad_76,2,undirected
ahora_4,la dinastia_80,1,undirected
ahora_5,ahora_1,1,undirected
ahora_5,ahora_2,2,undirected
ahora_5,ahora_3,5,undirected
ahora_5,ahora_4,6,undirected
ahora_5,ahora_6,1,undirected
ahora_5,el siglo futuro_55,2,undirected
ahora_5,el sol_64,1,undirected
ahora_6,ahora_5,1,undirected
ahora_6,solidaridad obrera_91,3,undirected
ahora_6,solidaridad obrera_92,2,undirected
ahora_7,el cantábrico_24,1,undirected
ahora_7,solidaridad obrera_91,2,undirected
ahora_7,solidaridad obrera_92,3,undirected
andalucia_10,andalucia_11,2,undirected
andalucia_10,andalucia_12,6,undirected
andalucia_10,andalucia_8,3,undirected
andalucia_10,andalucia_9,4,undirected
andalucia_11,andalucia_10,2,undirected
andalucia_11,andalucia_12,1,undirected
andalucia_11,andalucia_9,3,undirected
andalucia_12,andalucia_10,6,undirected
andalucia_12,andalucia_11,1,undirected
andalucia_12,andalucia_9,5,undirected
andalucia_12,ceda_16,3,undirected
andalucia_12,vida socialista_100,1,undirected
andalucia_8,andalucia_10,3,undirected
andalucia_8,andalucia_9,4,undirected
andalucia_8,el amigo_17,1,undirected
andalucia_9,andalucia_10,4,undirected
andalucia_9,andalucia_11,3,undirected
andalucia_9,andalucia_12,5,undirected
andalucia_9,andalucia_8,4,undirected
ceda_13,ceda_14,6,undirected
ceda_13,ceda_15,3,undirected
ceda_13,el sol_64,2,undirected
ceda_14,ceda_13,6,undirected
ceda_14,ceda_15,5,undirected
ceda_14,el sol_63,1,undirected
ceda_15,ceda_13,3,undirected
ceda_15,ceda_14,5,undirected
ceda_15,ceda_16,1,undirected
ceda_15,el sol_62,1,undirected
ceda_16,andalucia_12,3,undirected
ceda_16,ceda_15,1,undirected
ceda_16,solidaridad obrera_92,2,undirected
el amigo_17,andalucia_8,1,undirected
el amigo_17,el amigo_18,6,undirected
el amigo_17,el amigo_19,4,undirected
el amigo_17,el amigo_20,1,undirected
el amigo_17,el amigo_21,2,undirected
el amigo_17,la actualidad_71,2,undirected
el amigo_17,la actualidad_72,2,undirected
el amigo_17,la actualidad_76,1,undirected
el amigo_18,el amigo_17,6,undirected
el amigo_18,el amigo_19,3,undirected
el amigo_18,el amigo_21,1,undirected
el amigo_18,la actualidad_71,3,undirected
el amigo_18,la actualidad_76,1,undirected
el amigo_19,el amigo_17,4,undirected
el amigo_19,el amigo_18,3,undirected
el amigo_19,el amigo_20,3,undirected
el amigo_19,el amigo_21,6,undirected
el amigo_20,el amigo_17,1,undirected
