Source,Target,Weight,Type
andalucia_10,andalucia_11,30,undirected
andalucia_10,andalucia_12,60,undirected
andalucia_10,andalucia_8,34,undirected
andalucia_10,andalucia_9,48,undirected
andalucia_11,andalucia_10,30,undirected
andalucia_11,andalucia_12,18,undirected
andalucia_11,andalucia_8,2,undirected
andalucia_11,andalucia_9,6,undirected
andalucia_11,national_91,4,undirected
andalucia_12,andalucia_10,60,undirected
andalucia_12,andalucia_11,18,undirected
andalucia_12,andalucia_8,2,undirected
andalucia_12,andalucia_9,38,undirected
andalucia_12,national_100,8,undirected
andalucia_12,national_16,24,undirected
andalucia_8,andalucia_10,34,undirected
andalucia_8,andalucia_11,2,undirected
andalucia_8,andalucia_12,2,undirected
andalucia_8,andalucia_9,34,undirected
andalucia_8,national_16,4,undirected
andalucia_8,national_17,4,undirected
andalucia_8,national_75,2,undirected
andalucia_8,national_76,4,undirected
andalucia_9,andalucia_10,48,undirected
andalucia_9,andalucia_11,6,undirected
andalucia_9,andalucia_12,38,undirected
andalucia_9,andalucia_8,34,undirected
andalucia_9,national_55,6,undirected
cantabria_22,cantabria_23,60,undirected
cantabria_22,national_46,2,undirected
cantabria_22,national_58,12,undirected
cantabria_22,national_66,16,undirected
cantabria_22,national_87,12,undirected
cantabria_23,cantabria_22,60,undirected
cantabria_23,cantabria_25,14,undirected
cantabria_23,national_54,16,undirected
cantabria_23,national_58,4,undirected
cantabria_23,national_87,6,undirected
cantabria_24,cantabria_25,60,undirected
cantabria_24,cantabria_26,30,undirected
cantabria_24,national_55,6,undirected
cantabria_24,national_7,4,undirected
cantabria_24,national_91,6,undirected
cantabria_24,national_92,40,undirected
cantabria_25,cantabria_23,14,undirected
cantabria_25,cantabria_24,60,undirected
cantabria_25,cantabria_26,10,undirected
cantabria_25,national_3,20,undirected
cantabria_25,national_39,2,undirected
cantabria_25,national_5,4,undirected
cantabria_25,national_93,2,undirected
cantabria_25,national_94,2,undirected
cantabria_26,cantabria_24,30,undirected
cantabria_26,cantabria_25,10,undirected
cantabria_26,national_16,10,undirected
cantabria_26,national_56,4,undirected
cantabria_26,national_92,16,undirected
catalonia_77,catalonia_78,46,undirected
catalonia_77,catalonia_79,4,undirected
catalonia_77,catalonia_80,18,undirected
catalonia_77,catalonia_81,30,undirected
catalonia_77,catalonia_82,8,undirected
catalonia_77,catalonia_83,28,undirected
catalonia_77,national_36,6,undirected
catalonia_78,catalonia_77,46,undirected
catalonia_78,catalonia_82,54,undirected
catalonia_78,national_3,8,undirected
catalonia_78,national_36,4,undirected
catalonia_79,catalonia_77,4,undirected
catalonia_79,catalonia_80,36,undirected
catalonia_79,catalonia_86,8,undirected
catalonia_79,national_3,4,undirected
catalonia_79,national_36,4,undirected
catalonia_79,national_37,6,undirected
catalonia_79,national_45,2,undirected
catalonia_79,national_49,10,undirected
catalonia_79,national_73,4,undirected
catalonia_80,catalonia_77,18,undirected
catalonia_80,catalonia_79,36,undirected
catalonia_80,catalonia_81,44,undirected
catalonia_80,catalonia_82,48,undirected
catalonia_80,national_3,6,undirected
catalonia_80,national_4,8,undirected
catalonia_80,national_55,2,undirected
catalonia_81,catalonia_77,30,undirected
catalonia_81,catalonia_80,44,undirected
catalonia_81,catalonia_82,8,undirected
catalonia_81,catalonia_83,2,undirected
catalonia_81,catalonia_86,4,undirected
catalonia_82,catalonia_77,8,undirected
catalonia_82,catalonia_78,54,undirected
catalonia_82,catalonia_80,48,undirected
catalonia_82,catalonia_81,8,undirected
catalonia_82,national_73,2,undirected
