Source,Target,Weight,Type
andalucia_10,andalucia_11,2,undirected
andalucia_10,andalucia_12,6,undirected
andalucia_10,andalucia_8,3,undirected
andalucia_10,andalucia_9,4,undirected
andalucia_11,andalucia_10,2,undirected
andalucia_11,andalucia_12,1,undirected
andalucia_11,andalucia_9,3,undirected
andalucia_12,andalucia_10,6,undirected
andalucia_12,andalucia_11,1,undirected
andalucia_12,andalucia_9,5,undirected
andalucia_12,national_100,1,undirected
andalucia_12,national_16,3,undirected
andalucia_8,andalucia_10,3,undirected
andalucia_8,andalucia_9,4,undirected
andalucia_8,national_17,1,undirected
andalucia_9,andalucia_10,4,undirected
andalucia_9,andalucia_11,3,undirected
andalucia_9,andalucia_12,5,undirected
andalucia_9,andalucia_8,4,undirected
cantabria_22,cantabria_23,6,undirected
cantabria_22,national_58,2,undirected
cantabria_22,national_66,1,undirected
cantabria_23,cantabria_22,6,undirected
cantabria_23,national_54,2,undirected
cantabria_23,national_58,1,undirected
cantabria_24,cantabria_25,6,undirected
cantabria_24,cantabria_26,4,undirected
cantabria_24,national_7,1,undirected
cantabria_24,national_92,4,undirected
cantabria_25,cantabria_24,6,undirected
cantabria_25,national_3,2,undirected
cantabria_25,national_39,1,undirected
cantabria_26,cantabria_24,4,undirected
cantabria_26,national_56,2,undirected
cantabria_26,national_92,1,undirected
catalonia_77,catalonia_78,6,undirected
catalonia_77,catalonia_80,1,undirected
catalonia_77,catalonia_81,1,undirected
catalonia_77,catalonia_82,1,undirected
catalonia_77,catalonia_83,3,undirected
catalonia_77,national_36,2,undirected
catalonia_78,catalonia_77,6,undirected
catalonia_78,catalonia_82,4,undirected
catalonia_78,national_36,1,undirected
catalonia_79,catalonia_80,5,undirected
catalonia_79,national_3,1,undirected
catalonia_79,national_36,2,undirected
catalonia_80,catalonia_77,1,undirected
catalonia_80,catalonia_79,5,undirected
catalonia_80,catalonia_81,3,undirected
catalonia_80,catalonia_82,6,undirected
catalonia_80,national_4,1,undirected
catalonia_81,catalonia_77,1,undirected
catalonia_81,catalonia_80,3,undirected
catalonia_81,catalonia_82,2,undirected
catalonia_82,catalonia_77,1,undirected
catalonia_82,catalonia_78,4,undirected
catalonia_82,catalonia_80,6,undirected
catalonia_82,catalonia_81,2,undirected
catalonia_83,catalonia_77,3,undirected
catalonia_83,national_3,2,undirected
catalonia_83,national_57,1,undirected
catalonia_84,national_34,3,undirected
catalonia_84,national_57,1,undirected
catalonia_84,national_58,2,undirected
catalonia_85,catalonia_86,3,undirected
catalonia_85,national_66,2,undirected
catalonia_85,national_67,1,undirected
catalonia_86,catalonia_85,3,undirected
catalonia_86,national_39,3,undirected
catalonia_86,national_58,2,undirected
catalonia_86,national_61,1,undirected
national_1,national_4,3,undirected
national_1,national_5,1,undirected
national_1,national_63,2,undirected
national_1,national_76,1,undirected
national_100,andalucia_12,1,undirected
national_100,national_96,2,undirected
national_100,national_97,6,undirected
national_100,national_98,5,undirected
national_100,national_99,4,undirected
national_13,national_14,6,undirected
national_13,national_15,3,undirected
national_13,national_64,2,undirected
national_14,national_13,6,undirected
national_14,national_15,5,undirected
national_14,national_63,1,undirected
national_15,national_13,3,undirected
national_15,national_14,5,undirected
national_15,national_16,1,undirected
national_15,national_62,1,undirected
national_16,andalucia_12,3,undirected
national_16,national_15,1,undirected
national_16,national_92,2,undirected
national_17,andalucia_8,1,undirected
national_17,national_18,6,undirected
national_17,national_19,4,undirected
national_17,national_20,1,undirected
national_17,national_21,2,undirected
national_17,national_71,2,undirected
national_17,national_72,2,undirected
national_17,national_76,1,undirected
national_18,national_17,6,undirected
national_18,national_19,3,undirected
national_18,national_21,1,undirected
national_18,national_71,3,undirected
national_18,national_76,1,undirected
national_19,national_17,4,undirected
national_19,national_18,3,undirected
national_19,national_20,3,undirected
national_19,national_21,6,undirected
national_2,national_3,3,undirected
national_2,national_4,1,undirected
national_2,national_5,2,undirected
national_20,national_17,1,undirected
national_20,national_19,3,undirected
national_20,national_21,2,undirected
national_21,national_17,2,undirected
national_21,national_18,1,undirected
national_21,national_19,6,undirected
national_21,national_20,2,undirected
national_27,national_29,1,undirected
national_27,national_31,2,undirected
national_27,national_32,5,undirected
national_28,national_30,1,undirected
national_28,national_31,2,undirected
national_28,national_32,3,undirected
national_29,national_27,1,undirected
national_29,national_30,5,undirected
national_29,national_31,3,undirected
national_29,national_32,2,undirected
national_3,cantabria_25,2,undirected
national_3,catalonia_79,1,undirected
national_3,catalonia_83,2,undirected
national_3,national_2,3,undirected
national_3,national_39,2,undirected
national_3,national_4,1,undirected
national_3,national_5,5,undirected
national_3,national_55,1,undirected
national_30,national_28,1,undirected
national_30,national_29,5,undirected
national_30,national_31,6,undirected
national_30,national_56,1,undirected
national_31,national_27,2,undirected
national_31,national_28,2,undirected
national_31,national_29,3,undirected
national_31,national_30,6,undirected
national_31,national_32,5,undirected
national_32,national_27,5,undirected
national_32,national_28,3,undirected
national_32,national_29,2,undirected
national_32,national_31,5,undirected
national_33,national_37,2,undirected
national_33,national_39,3,undirected
national_33,national_4,1,undirected
national_34,catalonia_84,3,undirected
national_34,national_35,2,undirected
national_34,national_36,3,undirected
national_34,national_40,2,undirected
national_34,national_41,1,undirected
national_34,national_42,1,undirected
national_34,national_43,3,undirected
national_34,national_58,2,undirected
national_34,national_64,1,undirected
national_34,national_87,3,undirected
national_35,national_34,2,undirected
national_35,national_36,3,undirected
national_35,national_37,1,undirected
national_36,catalonia_77,2,undirected
national_36,catalonia_78,1,undirected
national_36,catalonia_79,2,undirected
national_36,national_34,3,undirected
national_36,national_35,3,undirected
national_36,national_37,5,undirected
national_36,national_40,3,undirected
national_36,national_43,1,undirected
national_36,national_49,2,undirected
national_36,national_51,3,undirected
national_36,national_52,3,undirected
national_36,national_58,1,undirected
national_36,national_61,3,undirected
national_36,national_87,1,undirected
national_37,national_33,2,undirected
national_37,national_35,1,undirected
national_37,national_36,5,undirected
national_37,national_39,1,undirected
national_37,national_58,2,undirected
national_38,national_48,1,undirected
national_38,national_54,1,undirected
national_38,national_58,3,undirected
national_38,national_68,2,undirected
national_39,cantabria_25,1,undirected
national_39,catalonia_86,3,undirected
national_39,national_3,2,undirected
national_39,national_33,3,undirected
national_39,national_37,1,undirected
national_39,national_4,3,undirected
national_39,national_45,2,undirected
national_39,national_46,3,undirected
national_39,national_60,2,undirected
national_39,national_61,1,undirected
national_39,national_62,2,undirected
national_39,national_66,2,undirected
national_39,national_67,2,undirected
national_39,national_69,3,undirected
national_4,catalonia_80,1,undirected
national_4,national_1,3,undirected
national_4,national_2,1,undirected
national_4,national_3,1,undirected
national_4,national_33,1,undirected
national_4,national_39,3,undirected
national_4,national_45,1,undirected
national_4,national_5,6,undirected
national_4,national_51,1,undirected
national_4,national_55,4,undirected
national_4,national_63,4,undirected
national_4,national_75,1,undirected
national_4,national_76,2,undirected
national_40,national_34,2,undirected
national_40,national_36,3,undirected
national_40,national_41,2,undirected
national_40,national_68,1,undirected
national_41,national_34,1,undirected
national_41,national_40,2,undirected
national_41,national_57,3,undirected
national_42,national_34,1,undirected
national_42,national_63,3,undirected
national_42,national_64,2,undirected
national_43,national_34,3,undirected
national_43,national_36,1,undirected
national_43,national_58,2,undirected
national_44,national_54,1,undirected
national_44,national_56,2,undirected
national_44,national_60,3,undirected
national_45,national_39,2,undirected
national_45,national_4,1,undirected
national_45,national_62,3,undirected
national_46,national_39,3,undirected
national_46,national_60,2,undirected
national_46,national_61,1,undirected
national_47,national_56,2,undirected
national_47,national_57,3,undirected
national_47,national_58,1,undirected
national_48,national_38,1,undirected
national_48,national_57,2,undirected
national_48,national_59,3,undirected
