Source,Target,Weight,Type
1890_40,1894_41,2,undirected
1890_40,1895_34,2,undirected
1890_40,1904_36,3,undirected
1890_40,1919_68,1,undirected
1890_77,1890_78,6,undirected
1890_77,1891_80,1,undirected
1890_77,1892_81,1,undirected
1890_77,1892_82,1,undirected
1890_77,1896_83,3,undirected
1890_77,1904_36,2,undirected
1890_78,1890_77,6,undirected
1890_78,1892_82,4,undirected
1890_78,1904_36,1,undirected
1891_33,1914_37,2,undirected
1891_33,1930_39,3,undirected
1891_33,1935_4,1,undirected
1891_79,1891_80,5,undirected
1891_79,1904_36,2,undirected
1891_79,1932_3,1,undirected
1891_80,1890_77,1,undirected
1891_80,1891_79,5,undirected
1891_80,1892_81,3,undirected
1891_80,1892_82,6,undirected
1891_80,1935_4,1,undirected
1892_81,1890_77,1,undirected
1892_81,1891_80,3,undirected
1892_81,1892_82,2,undirected
1892_82,1890_77,1,undirected
1892_82,1890_78,4,undirected
1892_82,1891_80,6,undirected
1892_82,1892_81,2,undirected
1893_49,1904_36,2,undirected
1893_49,1934_63,1,undirected
1893_49,1936_55,3,undirected
1894_41,1890_40,2,undirected
1894_41,1895_34,1,undirected
1894_41,1918_57,3,undirected
1895_34,1890_40,2,undirected
1895_34,1894_41,1,undirected
1895_34,1896_84,3,undirected
1895_34,1898_87,3,undirected
1895_34,1899_42,1,undirected
1895_34,1900_35,2,undirected
1895_34,1902_43,3,undirected
1895_34,1904_36,3,undirected
1895_34,1921_58,2,undirected
1895_34,1934_64,1,undirected
1896_83,1890_77,3,undirected
1896_83,1918_57,2,undirected
1896_83,1932_3,1,undirected
1896_84,1895_34,3,undirected
1896_84,1918_57,1,undirected
1896_84,1921_58,2,undirected
1898_87,1895_34,3,undirected
1898_87,1899_88,2,undirected
1898_87,1904_36,1,undirected
1898_87,1921_58,2,undirected
1899_42,1895_34,1,undirected
1899_42,1934_63,3,undirected
1899_42,1934_64,2,undirected
1899_50,1918_56,1,undirected
1899_50,1930_61,2,undirected
1899_50,1930_62,3,undirected
1899_88,1898_87,2,undirected
1899_88,1901_89,1,undirected
1899_88,1918_57,1,undirected
1899_88,1921_59,3,undirected
1900_35,1895_34,2,undirected
1900_35,1904_36,3,undirected
1900_35,1914_37,1,undirected
1901_85,1901_86,3,undirected
1901_85,1916_66,2,undirected
1901_85,1918_67,1,undirected
1901_86,1901_85,3,undirected
1901_86,1921_58,2,undirected
1901_86,1930_39,3,undirected
1901_86,1930_61,1,undirected
1901_89,1899_88,1,undirected
1901_89,1921_59,2,undirected
1901_89,1936_90,6,undirected
1902_43,1895_34,3,undirected
1902_43,1904_36,1,undirected
1902_43,1921_58,2,undirected
1904_36,1890_40,3,undirected
1904_36,1890_77,2,undirected
1904_36,1890_78,1,undirected
1904_36,1891_79,2,undirected
1904_36,1893_49,2,undirected
1904_36,1895_34,3,undirected
1904_36,1898_87,1,undirected
1904_36,1900_35,3,undirected
1904_36,1902_43,1,undirected
1904_36,1905_51,3,undirected
1904_36,1912_52,3,undirected
1904_36,1914_37,5,undirected
1904_36,1921_58,1,undirected
1904_36,1930_61,3,undirected
1905_44,1918_56,2,undirected
1905_44,1925_60,3,undirected
1905_44,1928_54,1,undirected
1905_51,1904_36,3,undirected
1905_51,1912_52,2,undirected
1905_51,1934_64,2,undirected
1905_51,1935_4,1,undirected
1906_71,1911_76,1,undirected
1906_71,1915_17,2,undirected
1906_71,1917_18,3,undirected
1906_72,1911_75,1,undirected
1906_72,1911_76,3,undirected
1906_72,1915_17,2,undirected
1909_45,1930_39,2,undirected
1909_45,1930_62,3,undirected
1909_45,1935_4,1,undirected
1909_73,1909_74,2,undirected
1909_73,1911_75,5,undirected
1909_73,1911_76,2,undirected
1909_74,1909_73,2,undirected
1909_74,1911_75,3,undirected
1909_74,1911_76,2,undirected
1910_96,1910_97,5,undirected
1910_96,1911_99,1,undirected
1910_96,1912_100,2,undirected
1910_97,1910_96,5,undirected
1910_97,1911_98,2,undirected
1910_97,1911_99,1,undirected
1910_97,1912_100,6,undirected
1911_75,1906_72,1,undirected
1911_75,1909_73,5,undirected
1911_75,1909_74,3,undirected
1911_75,1911_76,6,undirected
1911_75,1935_4,1,undirected
1911_76,1906_71,1,undirected
1911_76,1906_72,3,undirected
1911_76,1909_73,2,undirected
1911_76,1909_74,2,undirected
1911_76,1911_75,6,undirected
1911_76,1915_17,1,undirected
1911_76,1917_18,1,undirected
1911_76,1931_1,1,undirected
1911_76,1935_4,2,undirected
1911_98,1910_97,2,undirected
1911_98,1911_99,4,undirected
1911_98,1912_100,5,undirected
1911_99,1910_96,1,undirected
1911_99,1910_97,1,undirected
1911_99,1911_98,4,undirected
1911_99,1912_100,4,undirected
1912_100,1910_96,2,undirected
1912_100,1910_97,6,undirected
1912_100,1911_98,5,undirected
1912_100,1911_99,4,undirected
1912_100,1917_12,1,undirected
1912_46,1925_60,2,undirected
1912_46,1930_39,3,undirected
1912_46,1930_61,1,undirected
1912_52,1904_36,3,undirected
1912_52,1905_51,2,undirected
1912_52,1934_63,1,undirected
1914_37,1891_33,2,undirected
1914_37,1900_35,1,undirected
1914_37,1904_36,5,undirected
1914_37,1921_58,2,undirected
1914_37,1930_39,1,undirected
1915_17,1906_71,2,undirected
1915_17,1906_72,2,undirected
1915_17,1911_76,1,undirected
1915_17,1916_8,1,undirected
1915_17,1917_18,6,undirected
1915_17,1919_19,4,undirected
1915_17,1919_20,1,undirected
1915_17,1919_21,2,undirected
1916_10,1916_8,3,undirected
1916_10,1916_9,4,undirected
1916_10,1917_11,2,undirected
1916_10,1917_12,6,undirected
1916_47,1918_56,2,undirected
1916_47,1918_57,3,undirected
1916_47,1921_58,1,undirected
1916_66,1901_85,2,undirected
1916_66,1918_67,6,undirected
1916_66,1924_22,1,undirected
1916_66,1930_39,2,undirected
1916_66,1936_55,1,undirected
1916_8,1915_17,1,undirected
1916_8,1916_10,3,undirected
1916_8,1916_9,4,undirected
1916_9,1916_10,4,undirected
1916_9,1916_8,4,undirected
1916_9,1917_11,3,undirected
1916_9,1917_12,5,undirected
1917_11,1916_10,2,undirected
1917_11,1916_9,3,undirected
1917_11,1917_12,1,undirected
1917_12,1912_100,1,undirected
1917_12,1916_10,6,undirected
1917_12,1916_9,5,undirected
1917_12,1917_11,1,undirected
1917_12,1935_16,3,undirected
1917_18,1906_71,3,undirected
1917_18,1911_76,1,undirected
1917_18,1915_17,6,undirected
1917_18,1919_19,3,undirected
1917_18,1919_21,1,undirected
1918_56,1899_50,1,undirected
1918_56,1905_44,2,undirected
1918_56,1916_47,2,undirected
1918_56,1918_57,2,undirected
1918_56,1920_53,1,undirected
1918_56,1921_58,2,undirected
1918_56,1921_59,1,undirected
1918_56,1928_54,1,undirected
1918_56,1930_61,1,undirected
1918_56,1930_62,3,undirected
1918_56,1931_30,1,undirected
1918_56,1937_26,2,undirected
1918_57,1894_41,3,undirected
1918_57,1896_83,2,undirected
1918_57,1896_84,1,undirected
1918_57,1899_88,1,undirected
1918_57,1916_47,3,undirected
1918_57,1918_56,2,undirected
1918_57,1920_48,2,undirected
1918_57,1920_53,2,undirected
1918_57,1921_58,4,undirected
1918_57,1921_59,2,undirected
1918_57,1925_60,1,undirected
1918_57,1938_65,2,undirected
1918_57,1939_95,2,undirected
1918_67,1901_85,1,undirected
1918_67,1916_66,6,undirected
1918_67,1919_68,3,undirected
1918_67,1930_39,2,undirected
1918_67,1930_61,1,undirected
1919_19,1915_17,4,undirected
1919_19,1917_18,3,undirected
1919_19,1919_20,3,undirected
1919_19,1919_21,6,undirected
1919_20,1915_17,1,undirected
1919_20,1919_19,3,undirected
1919_20,1919_21,2,undirected
1919_21,1915_17,2,undirected
1919_21,1917_18,1,undirected
1919_21,1919_19,6,undirected
1919_21,1919_20,2,undirected
1919_68,1890_40,1,undirected
1919_68,1918_67,3,undirected
1919_68,1921_69,2,undirected
