Source,Target,Weight,Type
1890_40,1894_41,6,undirected
1890_40,1895_34,8,undirected
1890_40,1904_36,7,undirected
1890_40,1919_68,8,undirected
1890_40,1920_48,1,undirected
1890_40,1923_38,3,undirected
1890_40,1925_60,4,undirected
1890_77,1890_78,28,undirected
1890_77,1891_79,4,undirected
1890_77,1891_80,5,undirected
1890_77,1892_81,6,undirected
1890_77,1892_82,6,undirected
1890_77,1896_83,3,undirected
1890_77,1904_36,6,undirected
1890_78,1890_77,28,undirected
1890_78,1891_80,1,undirected
1890_78,1892_82,19,undirected
1890_78,1904_36,5,undirected
1890_78,1932_3,1,undirected
1891_33,1905_44,8,undirected
1891_33,1912_46,1,undirected
1891_33,1914_37,6,undirected
1891_33,1925_60,1,undirected
1891_33,1930_39,13,undirected
1891_33,1934_64,1,undirected
1891_33,1935_4,3,undirected
1891_79,1890_77,4,undirected
1891_79,1891_80,18,undirected
1891_79,1892_81,1,undirected
1891_79,1904_36,4,undirected
1891_79,1909_45,1,undirected
1891_79,1914_37,1,undirected
1891_79,1930_62,2,undirected
1891_79,1932_3,4,undirected
1891_79,1935_4,3,undirected
1891_80,1890_77,5,undirected
1891_80,1890_78,1,undirected
1891_80,1891_79,18,undirected
1891_80,1892_81,19,undirected
1891_80,1892_82,30,undirected
1891_80,1896_83,1,undirected
1891_80,1932_3,1,undirected
1891_80,1935_4,5,undirected
1892_81,1890_77,6,undirected
1892_81,1891_79,1,undirected
1892_81,1891_80,19,undirected
1892_81,1892_82,8,undirected
1892_81,1901_86,1,undirected
1892_81,1914_37,1,undirected
1892_82,1890_77,6,undirected
1892_82,1890_78,19,undirected
1892_82,1891_80,30,undirected
1892_82,1892_81,8,undirected
1893_49,1904_36,4,undirected
1893_49,1905_51,1,undirected
1893_49,1934_63,5,undirected
1893_49,1934_64,3,undirected
1893_49,1935_5,2,undirected
1893_49,1936_55,15,undirected
1894_41,1890_40,6,undirected
1894_41,1895_34,3,undirected
1894_41,1899_88,2,undirected
1894_41,1905_44,2,undirected
1894_41,1912_46,3,undirected
1894_41,1918_56,2,undirected
1894_41,1918_57,9,undirected
1894_41,1920_53,3,undirected
1894_41,1923_38,1,undirected
1894_41,1928_54,1,undirected
1895_34,1890_40,8,undirected
1895_34,1894_41,3,undirected
1895_34,1896_84,10,undirected
1895_34,1898_87,10,undirected
1895_34,1899_42,1,undirected
1895_34,1900_35,6,undirected
1895_34,1902_43,12,undirected
1895_34,1904_36,14,undirected
1895_34,1914_37,1,undirected
1895_34,1918_56,1,undirected
1895_34,1921_58,12,undirected
1895_34,1934_64,4,undirected
1896_83,1890_77,3,undirected
1896_83,1891_80,1,undirected
1896_83,1896_84,2,undirected
1896_83,1901_85,3,undirected
1896_83,1918_57,2,undirected
1896_83,1919_68,3,undirected
1896_83,1921_58,6,undirected
1896_83,1923_38,1,undirected
1896_83,1928_54,2,undirected
1896_83,1932_3,7,undirected
1896_84,1895_34,10,undirected
1896_84,1896_83,2,undirected
1896_84,1904_36,2,undirected
1896_84,1918_57,3,undirected
1896_84,1918_67,3,undirected
1896_84,1921_58,7,undirected
1896_84,1930_61,2,undirected
1896_84,1935_4,3,undirected
1898_87,1895_34,10,undirected
1898_87,1899_88,10,undirected
1898_87,1904_36,7,undirected
1898_87,1918_56,1,undirected
1898_87,1918_57,3,undirected
1898_87,1921_58,9,undirected
1899_42,1895_34,1,undirected
1899_42,1902_43,1,undirected
1899_42,1905_51,2,undirected
1899_42,1912_46,2,undirected
1899_42,1912_52,7,undirected
1899_42,1934_63,12,undirected
1899_42,1934_64,6,undirected
1899_42,1935_4,3,undirected
1899_50,1909_45,1,undirected
1899_50,1911_76,1,undirected
1899_50,1912_46,2,undirected
1899_50,1916_66,2,undirected
1899_50,1918_56,1,undirected
1899_50,1924_70,1,undirected
1899_50,1930_61,7,undirected
1899_50,1930_62,13,undirected
1899_50,1934_63,2,undirected
1899_88,1894_41,2,undirected
1899_88,1898_87,10,undirected
1899_88,1901_89,3,undirected
1899_88,1918_57,4,undirected
1899_88,1921_59,14,undirected
1899_88,1936_90,1,undirected
1900_35,1895_34,6,undirected
1900_35,1902_43,1,undirected
1900_35,1904_36,15,undirected
1900_35,1914_37,5,undirected
1900_35,1921_58,2,undirected
1900_35,1924_70,1,undirected
1900_35,1935_4,1,undirected
1901_85,1896_83,3,undirected
1901_85,1901_86,11,undirected
1901_85,1904_36,5,undirected
1901_85,1916_66,7,undirected
1901_85,1918_67,8,undirected
1901_85,1925_60,1,undirected
1901_86,1892_81,1,undirected
1901_86,1901_85,11,undirected
1901_86,1904_36,4,undirected
1901_86,1914_37,3,undirected
1901_86,1921_58,7,undirected
1901_86,1924_70,2,undirected
1901_86,1930_39,5,undirected
1901_86,1930_61,3,undirected
1901_86,1930_62,4,undirected
1901_89,1899_88,3,undirected
1901_89,1920_48,3,undirected
1901_89,1921_59,9,undirected
1901_89,1936_90,30,undirected
1902_43,1895_34,12,undirected
1902_43,1899_42,1,undirected
1902_43,1900_35,1,undirected
1902_43,1904_36,1,undirected
1902_43,1914_37,2,undirected
1902_43,1918_56,3,undirected
1902_43,1921_58,4,undirected
1902_43,1930_61,2,undirected
1902_43,1934_64,5,undirected
1904_36,1890_40,7,undirected
1904_36,1890_77,6,undirected
1904_36,1890_78,5,undirected
1904_36,1891_79,4,undirected
1904_36,1893_49,4,undirected
